TRIP_CODE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,SPCODE,CELL_L,BIOVOLUME_UM3L
ROT20111221,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,573572,22,2432847.3
ROT20111221,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,65,2940528.24
ROT20111221,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,109545,22,103672.47
ROT20111221,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,151,4756500
ROT20111221,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,840627,87,1822122.2
ROT20111221,Tripos muelleri type,Dinoflagellate,Tripos (Tripoceratium),muelleri type,494057,22,1428376.25
ROT20111221,Unid dinoflagellate < 10 µm,Dinoflagellate,,,146203,1731,522056.86
ROT20110826,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,47,289403.27
ROT20110826,Bellerochea spp.,Centric diatom,Bellerochea,spp.,149305,47,2855250
ROT20110826,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,149619,24,997140.67
ROT20110826,Chaetoceros danicus,Centric diatom,Chaetoceros (Phaeoceros),danicus,149120,118,389243
ROT20110826,Chaetoceros messanense,Centric diatom,Chaetoceros (Hyalochaete),messanense,418509,47,73827.37
ROT20110826,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,118,2224245.72
ROT20110826,Chrysophyceae,Flagellate,,,146230,118,92676.91
ROT20110826,Corethron pennatum,Centric diatom,Corethron,pennatum,341496,24,703716.16
ROT20110826,Coscinodiscus radiatus,Centric diatom,Coscinodiscus,radiatus,149158,24,4071500.64
ROT20110826,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,148917,24,16286002.56
ROT20110826,Cryptophyta < 10 µm length,Flagellate,,,17638,14179,11136151.15
ROT20110826,Cyanobacteria cluster,Cyanobacteria,,,146537,95,397934.73
ROT20110826,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,95,19000
ROT20110826,Diploneis spp.,Pennate diatom,Diploneis,spp.,149018,118,3269641.21
ROT20110826,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,284,2291868.44
ROT20110826,Flagellate <10 µm fusiform,Flagellate,,,146222,66169,38976725.38
ROT20110826,Flagellate <10 µm round,Flagellate,,,146222,224502,14693609.13
ROT20110826,Guinardia striata,Centric diatom,Guinardia,striata,149113,165,13995783.45
ROT20110826,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,71,7360745.37
ROT20110826,Helicotheca spp.,Centric diatom,Helicotheca,spp.,157438,354,33780731.87
ROT20110826,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,189,66798.06
ROT20110826,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,149321,24,24000000
ROT20110826,Mesodinium rubrum,Ciliate,Mesodinium,rubrum,232069,24,508937.58
ROT20110826,Navicula cf. 40-60 µm length,Pennate diatom,,,149031,118,243375
ROT20110826,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,165,990000
ROT20110826,Prasinophytes,Flagellate,,,17329,10634,2783972.34
ROT20110826,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,24,49134.47
ROT20110826,Prymnesiophytes,Flagellate,,,115057,17724,9280256.86
ROT20110826,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,425,85000
ROT20110826,Pseudosolenia spp. ~30 µm cell width,Centric diatom,Pseudosolenia,spp.,163342,47,16611157.13
ROT20110826,Rhabdonema spp.,Pennate diatom,Rhabdonema,spp.,157072,24,3960000
ROT20110826,Rhizosolenia pungens,Centric diatom,Rhizosolenia,pungens,149117,47,16611157.13
ROT20110826,Rhizosolenia robusta,Centric diatom,Rhizosolenia,robusta,149311,47,346496433.07
ROT20110826,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,425,13387500
ROT20110826,Thalassiosira gravida,Centric diatom,Thalassiosira,gravida,149102,24,301592.64
ROT20110826,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,24,75398.16
ROT20110826,Trigonium spp.,Centric diatom,Trigonium,spp.,254445,24,13824000
ROT20110826,Tripos muelleri type,Dinoflagellate,Tripos (Tripoceratium),muelleri type,494057,24,1558228.64
ROT20110826,Unid dinoflagellate < 10 µm,Dinoflagellate,,,146203,8271,2494472.73
NSI20120213,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,7805,48059415.5
NSI20120213,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,149619,117,4861060.75
NSI20120213,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,149288,351,595456.97
NSI20120213,Chaetoceros compressus,Centric diatom,Chaetoceros (Hyalochaete),compressus,149129,1756,5516632.04
NSI20120213,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,117,2205396.18
NSI20120213,Chrysophyceae,Flagellate,,,146230,59,46338.45
NSI20120213,Cryptophyta < 10 µm length,Flagellate,,,17638,2341,1838615.55
NSI20120213,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,1561,312200
NSI20120213,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,1366,156103302.86
NSI20120213,Eucampia spp. <100 µm cell length,Centric diatom,Eucampia,spp.,149130,351,620267.68
NSI20120213,Flagellate <10 µm fusiform,Flagellate,,,146222,81951,48273082.89
NSI20120213,Flagellate <10 µm round,Flagellate,,,146222,180293,11800139.29
NSI20120213,Guinardia striata,Centric diatom,Guinardia,striata,149113,1054,89403368.22
NSI20120213,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,1171,16899496.18
NSI20120213,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,43122,183521742.7
NSI20120213,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,4683,1655107.42
NSI20120213,Navicula cf. 40-60 µm length,Pennate diatom,,,149031,780,1608750
NSI20120213,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,109528,117,413511.78
NSI20120213,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,115088,23415,2648171.87
NSI20120213,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,195,1170000
NSI20120213,Prasinophytes,Flagellate,,,17329,3512,919438.67
NSI20120213,Proboscia alata,Centric diatom,Proboscia,alata,149168,585,38824161.92
NSI20120213,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,117,239530.53
NSI20120213,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,110245,468,17896544.96
NSI20120213,Prymnesiophytes,Flagellate,,,115057,48000,25132720
NSI20120213,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,3707,741400
NSI20120213,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,2341,702300
NSI20120213,Pseudosolenia spp. ~60 µm cell width,Centric diatom,Pseudosolenia,spp.,163342,117,132323770.8
NSI20120213,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,780,35286338.88
NSI20120213,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,177604,937,536483.83
NSI20120213,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,842517,117,4750790.94
NSI20120213,Unid dinoflagellate < 10 µm,Dinoflagellate,,,146203,1171,353164.98
MAI20120326,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,240,1477803.94
MAI20120326,Brachidinium spp.,Dinoflagellate,Brachidinium,spp.,231770,400,18325941.67
MAI20120326,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,149619,120,4985703.33
MAI20120326,Chaetoceros didymus,Centric diatom,Chaetoceros (Hyalochaete),didymus,149122,40,65449.79
MAI20120326,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,100,589048.13
MAI20120326,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,640,241274.11
MAI20120326,Chrysophyceae,Flagellate,,,146230,20,15707.95
MAI20120326,Cryptophyta < 10 µm length,Flagellate,,,17638,2000,1570795
MAI20120326,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,140,28000
MAI20120326,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,260,29712195.27
MAI20120326,Eucampia spp. <100 µm cell length,Centric diatom,Eucampia,spp.,149130,100,176714.44
MAI20120326,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,40,322798.37
MAI20120326,Flagellate <10 µm fusiform,Flagellate,,,146222,20000,11780962.5
MAI20120326,Flagellate <10 µm round,Flagellate,,,146222,121333,7941219.57
MAI20120326,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,40,318557.23
MAI20120326,Guinardia striata,Centric diatom,Guinardia,striata,149113,260,22053961.8
MAI20120326,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,,,109392,40,29489.06
MAI20120326,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,80,8293797.6
MAI20120326,Gyrodinium spp. 40-60 µm,Dinoflagellate,Gyrodinium,spp.,109476,80,2199113
MAI20120326,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,300,1276761.81
MAI20120326,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,360,127234.4
MAI20120326,Prasinophytes,Flagellate,,,17329,2000,523598.33
MAI20120326,Proboscia alata,Centric diatom,Proboscia,alata,149168,40,2654643.55
MAI20120326,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,20,40945.39
MAI20120326,Prymnesiophytes,Flagellate,,,115057,2667,1396436.76
MAI20120326,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,340,68000
MAI20120326,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,80,251327.2
MAI20120326,Unid dinoflagellate < 10 µm,Dinoflagellate,,,146203,667,201162.29
ROT20120504,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,701,4316419
ROT20120504,Bellerochea spp.,Centric diatom,Bellerochea,spp.,149305,27,1640250
ROT20120504,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,149236,81,11689660.04
ROT20120504,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,149288,404,685369.27
ROT20120504,Chaetoceros compressus,Centric diatom,Chaetoceros (Hyalochaete),compressus,149129,189,593760.51
ROT20120504,Chaetoceros curvisetus,Centric diatom,Chaetoceros (Hyalochaete),curvisetus,149221,216,890640.77
ROT20120504,Chaetoceros danicus,Centric diatom,Chaetoceros (Phaeoceros),danicus,149120,162,534384.46
ROT20120504,Chaetoceros lorenzianus,Centric diatom,Chaetoceros (Hyalochaete),lorenzianus,156617,135,2544687.9
ROT20120504,Chaetoceros messanense,Centric diatom,Chaetoceros (Hyalochaete),messanense,418509,135,212057.33
ROT20120504,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,54,1017875.16
ROT20120504,Chaetoceros peruvianus > 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,135,8482293
ROT20120504,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,108,40715.01
ROT20120504,Chrysophyceae,Flagellate,,,146230,162,127234.4
ROT20120504,Cocconeis spp.,Pennate diatom,Cocconeis,spp.,148989,27,62726.56
ROT20120504,Corethron pennatum,Centric diatom,Corethron,pennatum,341496,81,2375042.04
ROT20120504,Cryptophyta < 10 µm length,Flagellate,,,17638,4314,3388204.82
ROT20120504,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,809,161800
ROT20120504,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,108,12341988.81
ROT20120504,Dactyliosolen phuketensis,Centric diatom,Dactyliosolen,phuketensis,248064,27,1017875.16
ROT20120504,Entomoneis spp.,Pennate diatom,Entomoneis,spp.,156598,27,831582.8
ROT20120504,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,162,1307333.41
ROT20120504,Flagellate <10 µm fusiform,Flagellate,,,146222,56078,33032640.75
ROT20120504,Flagellate <10 µm round,Flagellate,,,146222,204902,13410793.21
ROT20120504,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,149313,458,642086.02
ROT20120504,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,27,5301433.13
ROT20120504,Guinardia striata,Centric diatom,Guinardia,striata,149113,270,22902191.1
ROT20120504,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,,,109392,189,139335.8
ROT20120504,Gyrodinium spp. 20-40 µm,Dinoflagellate,Gyrodinium,spp.,109476,377,2960948.58
ROT20120504,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,485,2064098.26
ROT20120504,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,350,3298669.5
ROT20120504,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,270,95425.8
ROT20120504,Membraneis spp.,Pennate diatom,Membraneis,spp.,291406,54,17812815.3
ROT20120504,Mesodinium rubrum,Ciliate,Mesodinium,rubrum,232069,27,572554.78
ROT20120504,Navicula cf. 140-160 µm length,Pennate diatom,,,149031,27,506250
ROT20120504,Navicula cf. 60-80 µm length,Pennate diatom,,,149031,324,1814400
ROT20120504,Navicula septentrionalis,Pennate diatom,Navicula,septentrionalis,549210,54,1272343.95
ROT20120504,Ornithocercus spp.,Dinoflagellate,Ornithocercus,spp.,109464,54,381703.18
ROT20120504,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,109528,189,667980.57
ROT20120504,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,115088,2157,243950.75
ROT20120504,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,81,486000
ROT20120504,Prasinophytes,Flagellate,,,17329,2157,564700.8
ROT20120504,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,54,110552.55
ROT20120504,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,109553,81,9728172.2
ROT20120504,Prymnesiophytes,Flagellate,,,115057,9706,5082045.42
ROT20120504,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,971,194200
ROT20120504,Pseudosolenia spp. ~60 µm cell width,Centric diatom,Pseudosolenia,spp.,163342,108,122145019.2
ROT20120504,Rhizosolenia bergonii,Centric diatom,Rhizosolenia,bergonii,196811,54,84822930
ROT20120504,Rhizosolenia pungens,Centric diatom,Rhizosolenia,pungens,149117,135,47712898.13
ROT20120504,Rhizosolenia robusta,Centric diatom,Rhizosolenia,robusta,149311,27,199051142.4
ROT20120504,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,81,3664350.58
ROT20120504,Skeletonema spp.,Centric diatom,Skeletonema,spp.,149073,243,99751.77
ROT20120504,Stephanopyxis spp.,Centric diatom,Stephanopyxis,spp.,149630,108,83239568.64
ROT20120504,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,162,81000
ROT20120504,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,512,16128000
ROT20120504,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,157081,54,486000
ROT20120504,Unid dinoflagellate < 10 µm,Dinoflagellate,,,146203,9706,2927258.16
ROT20110527,Actinocyclus spp.,Centric diatom,Actinocyclus,spp.,148944,23,325154.57
ROT20110527,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,375,2309068.65
ROT20110527,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,149236,140,20204350.69
ROT20110527,Chaetoceros affinis,Centric diatom,Chaetoceros (Hyalochaete),affinis,149241,187,1174954.66
ROT20110527,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,149288,304,515723.41
ROT20110527,Chaetoceros compressus,Centric diatom,Chaetoceros (Hyalochaete),compressus,149129,468,1470264.12
ROT20110527,Chaetoceros decipiens < 15 µm cell width,Centric diatom,Chaetoceros (Hyalochaete),decipiens,149126,328,1112876.84
ROT20110527,Chaetoceros didymus,Centric diatom,Chaetoceros (Hyalochaete),didymus,149122,47,76903.51
ROT20110527,Chaetoceros messanense,Centric diatom,Chaetoceros (Hyalochaete),messanense,418509,140,219911.3
ROT20110527,Chaetoceros spp.,Centric diatom,Chaetoceros,spp.,148985,351,1240535.35
ROT20110527,Chaetoceros spp. 10-20 µm,Centric diatom,Chaetoceros,spp.,148985,187,587477.33
ROT20110527,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,1241,467845.58
ROT20110527,Chrysophyceae,Flagellate,,,146230,351,275674.52
ROT20110527,Climacodium spp.,Centric diatom,Climacodium,spp.,196803,164,55553678.45
ROT20110527,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,148917,47,31893421.68
ROT20110527,Cryptophyta < 10 µm length,Flagellate,,,17638,8193,6434761.72
ROT20110527,Cyanobacteria cluster,Cyanobacteria,,,146537,23,96342.09
ROT20110527,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,749,149800
ROT20110527,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,187,21369925.06
ROT20110527,Dactyliosolen phuketensis,Centric diatom,Dactyliosolen,phuketensis,248064,23,867078.84
ROT20110527,Dinophysis caudata,Dinoflagellate,Dinophysis,caudata,109612,23,934819.37
ROT20110527,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,140,1129794.3
ROT20110527,Flagellate <10 µm fusiform,Flagellate,,,146222,105337,62048562.34
ROT20110527,Flagellate <10 µm round,Flagellate,,,146222,259831,17005884.82
ROT20110527,Gonyaulax spp.,Dinoflagellate,Gonyaulax,spp.,109519,23,7181.13
ROT20110527,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,94,748609.48
ROT20110527,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,117,22972876.88
ROT20110527,Guinardia striata,Centric diatom,Guinardia,striata,149113,234,19848565.62
ROT20110527,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,,,109392,23,16956.21
ROT20110527,Helicotheca spp.,Centric diatom,Helicotheca,spp.,157438,47,4485012.42
ROT20110527,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,94,1356577.83
ROT20110527,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,538,2289659.51
ROT20110527,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,234,2205396.18
ROT20110527,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,47,16611.16
ROT20110527,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,149321,9,9000000
ROT20110527,Navicula cf. 60-80 µm length,Pennate diatom,,,149031,23,128800
ROT20110527,Navicula cf. > 350 µm length,Pennate diatom,,,149031,25,6015625
ROT20110527,Navicula septentrionalis,Pennate diatom,Navicula,septentrionalis,549210,70,1649334.75
ROT20110527,Odontella spp. ~50 µm cell length,Centric diatom,Odontella,spp.,148963,56,2968802.55
ROT20110527,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,115088,936,105859.02
ROT20110527,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,70,420000
ROT20110527,Prasinophytes,Flagellate,,,17329,7022,1838353.75
ROT20110527,Proboscia alata,Centric diatom,Proboscia,alata,149168,47,3119206.17
ROT20110527,Proboscia alata ~ 50 µm cell width,Centric diatom,Proboscia,alata,149168,23,22580178.13
ROT20110527,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,94,192443.33
ROT20110527,Protoperidinium oceanicum,Dinoflagellate,Protoperidinium,oceanicum,110240,23,32563627.55
ROT20110527,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,110245,23,879531.06
ROT20110527,Prymnesiophytes,Flagellate,,,115057,12875,6741328.54
ROT20110527,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,1990,398000
ROT20110527,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,47,14100
ROT20110527,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,573572,47,5197446.5
ROT20110527,Rhizosolenia robusta,Centric diatom,Rhizosolenia,robusta,149311,23,169562084.27
ROT20110527,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,445,20131308.72
ROT20110527,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,149069,23,11561051.2
ROT20110527,Skeletonema spp.,Centric diatom,Skeletonema,spp.,149073,702,288171.77
ROT20110527,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,187,93500
ROT20110527,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,679,21388500
ROT20110527,Thalassiosira gravida,Centric diatom,Thalassiosira,gravida,149102,117,1470264.12
ROT20110527,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,47,147654.73
ROT20110527,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,157081,9,81000
ROT20110527,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,840627,47,984364.87
ROT20110527,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,837459,70,1227838.09
ROT20110527,Unid dinoflagellate < 10 µm,Dinoflagellate,,,146203,5852,1764920.13
ROT20110324,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,3600,22167059.04
ROT20110324,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,5700,33575743.13
ROT20110324,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,23900,9010080.12
ROT20110324,Chrysophyceae,Flagellate,,,146230,50,39269.88
ROT20110324,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,148917,50,33929172
ROT20110324,Cryptophyta < 10 µm length,Flagellate,,,17638,3000,2356192.5
ROT20110324,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,1000,200000
ROT20110324,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,500,57138837.06
ROT20110324,Dactyliosolen phuketensis,Centric diatom,Dactyliosolen,phuketensis,248064,700,26389356
ROT20110324,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,50,403497.97
ROT20110324,Flagellate <10 µm fusiform,Flagellate,,,146222,82000,48301946.25
ROT20110324,Flagellate <10 µm round,Flagellate,,,146222,204000,13351757.5
ROT20110324,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,600,117809625
ROT20110324,Guinardia striata,Centric diatom,Guinardia,striata,149113,500,42411465
ROT20110324,Gymnodinium spp.,Dinoflagellate,Gymnodinium,spp.,109475,50,36861.32
ROT20110324,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,150,2164751.86
ROT20110324,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,650,2766317.26
ROT20110324,Licmophora spp. < 150 µm,Pennate diatom,Licmophora,spp.,149342,50,609143.67
ROT20110324,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,149321,50,50000000
ROT20110324,Navicula cf. 100-120 µm length,Pennate diatom,,,149031,100,1375000
ROT20110324,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,109528,50,176714.44
ROT20110324,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,115088,4800,542866.75
ROT20110324,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,250,1500000
ROT20110324,Prasinophytes,Flagellate,,,17329,5000,1308995.83
ROT20110324,Proboscia alata,Centric diatom,Proboscia,alata,149168,50,3318304.44
ROT20110324,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,50,102363.47
ROT20110324,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,110245,50,1912024.03
ROT20110324,Prymnesiophytes,Flagellate,,,115057,7000,3665188.33
ROT20110324,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,2800,560000
ROT20110324,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,400,120000
ROT20110324,Pseudosolenia spp. ~30 µm cell width,Centric diatom,Pseudosolenia,spp.,163342,50,17671443.75
ROT20110324,Rhabdonema spp.,Pennate diatom,Rhabdonema,spp.,157072,50,8250000
ROT20110324,Rhizosolenia castracanei,Centric diatom,Rhizosolenia,castracanei,248062,50,7068577.5
ROT20110324,Rhizosolenia imbricata,Centric diatom,Rhizosolenia,imbricata,149116,100,28274310
ROT20110324,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,149069,160,80424704
ROT20110324,Stephanopyxis spp.,Centric diatom,Stephanopyxis,spp.,149630,50,38536837.33
ROT20110324,Thalassionema spp.,Pennate diatom,Thalassionema,spp.,149092,100,54000
ROT20110324,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,157081,50,450000
ROT20110324,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,837448,25,3577485.61
ROT20110324,Unid dinoflagellate < 10 µm,Dinoflagellate,,,146203,1000,301592.64
PHB20111117,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,149236,2207,318507156.91
PHB20111117,Chrysophyceae,Flagellate,,,146230,201,157864.9
PHB20111117,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,148917,100,67858344
PHB20111117,Cryptophyta < 10 µm length,Flagellate,,,17638,35105,27571379.24
PHB20111117,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,3611,722200
PHB20111117,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,1003,114620507.15
PHB20111117,Dinophysis spp.,Dinoflagellate,Dinophysis,spp.,109462,802,5878962.09
PHB20111117,Eucampia spp. <100 µm cell length,Centric diatom,Eucampia,spp.,149130,100,176714.44
PHB20111117,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,201,1622061.82
PHB20111117,Flagellate <10 µm fusiform,Flagellate,,,146222,80241,47265810.6
PHB20111117,Flagellate <10 µm round,Flagellate,,,146222,343531,22484032.38
PHB20111117,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,20,3926987.5
PHB20111117,Guinardia striata,Centric diatom,Guinardia,striata,149113,201,17049408.93
PHB20111117,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,,,109392,1003,739438.13
PHB20111117,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,1304,135188900.88
PHB20111117,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,69709,296672630.26
PHB20111117,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,5517,1949867.1
PHB20111117,Navicula cf. 60-80 µm length,Pennate diatom,,,149031,201,1125600
PHB20111117,Navicula septentrionalis,Pennate diatom,Navicula,septentrionalis,549210,802,18896663.85
