PROJECTNAME,TRIP_CODE,STATION,LONGITUDE,LATITUDE,SAMPLEDATELOCAL,BIOMASS_MGM3,SAMPLETYPE
NRS,PH420071026,Port Hacking 4,151.21815,-34.11758,2007-10-26 00:00:00,,Z
NRS,PHB20090318,Port Hacking,151.22667,-34.11923,2009-03-19 09:39:00,17.84779,PZ
NRS,PHB20090819,Port Hacking,151.22667,-34.11923,2009-08-20 09:19:00,9.48086,PZ
NRS,PHB20090924,Port Hacking,151.22667,-34.11923,2009-09-25 08:45:00,32.36438,PZZ
NRS,PHB20091110,Port Hacking,151.22667,-34.11923,2009-11-11 09:45:00,37.99773,PZ
NRS,PHB20100316,Port Hacking,151.22667,-34.11923,2010-03-17 09:05:00,30.88973,PZ
NRS,PHB20100702,Port Hacking,151.22667,-34.11923,2010-07-02 11:35:00,56.22745,PZ
NRS,PHB20110517,Port Hacking,151.22667,-34.11923,2011-05-18 09:25:00,0.19449,PZ
NRS,PHB20161204,Port Hacking,151.22667,-34.11923,2016-12-05 09:45:00,16.92128,FPZ
NRS,PHB20170321,Port Hacking,151.22667,-34.11923,2017-03-22 09:21:00,6.40427,FPZ
NRS,PHB20180123,Port Hacking,151.22667,-34.11923,2018-01-24 09:41:00,16.66313,FPZ
NRS,PHB20200520,Port Hacking,151.22667,-34.11923,2020-05-20 10:01:00,1.13162,PZ
NRS,PHB20201110,Port Hacking,151.22667,-34.11923,2020-11-11 08:40:00,21.23264,PZ
NRS,PHB20121009,Port Hacking,151.22667,-34.11923,2012-10-10 09:44:00,9.87693,PZ
NRS,PHB20141112,Port Hacking,151.22667,-34.11923,2014-11-13 09:36:00,5.67246,PZ
NRS,PHB20180626,Port Hacking,151.22667,-34.11923,2018-06-27 09:41:00,,FP
NRS,PHB20201013,Port Hacking,151.22667,-34.11923,2020-10-14 09:48:00,,P
NRS,PHB20200630,Port Hacking,151.22667,-34.11923,2020-07-01 09:18:00,3.18948,PZ
NRS,PHB20160829,Port Hacking,151.22667,-34.11923,2016-08-30 09:20:00,9.39953,FPZ
NRS,PHB20100218,Port Hacking,151.22667,-34.11923,2010-02-19 09:05:00,26.51177,Z
NRS,ROT20111020,Rottnest Island,115.41667,-32,2011-10-20 12:00:00,5.27304,PZ
NRS,ROT20150128,Rottnest Island,115.41667,-32,2015-01-28 10:15:00,6.32607,PZ
NRS,ROT20160502,Rottnest Island,115.41667,-32,2016-05-02 09:44:00,12.73074,FPZ
NRS,ROT20161114,Rottnest Island,115.41667,-32,2016-11-14 09:45:00,13.05294,FPZ
NRS,ROT20170407,Rottnest Island,115.41667,-32,2017-04-07 09:28:00,46.35719,FPZ
NRS,ROT20170523,Rottnest Island,115.41667,-32,2017-05-23 09:53:00,10.49893,FPZ
NRS,ROT20180125,Rottnest Island,115.41667,-32,2018-01-25 10:00:00,12.55392,FPZ
NRS,ROT20110527,Rottnest Island,115.41667,-32,2011-05-27 09:35:00,13.94095,PZ
NRS,ROT20120504,Rottnest Island,115.41667,-32,2012-05-04 13:00:00,13.42229,PZ
NRS,ROT20120727,Rottnest Island,115.41667,-32,2012-07-27 09:55:00,13.95666,PZ
NRS,ROT20120928,Rottnest Island,115.41667,-32,2012-09-28 11:41:00,14.89182,PZ
NRS,ROT20140122,Rottnest Island,115.41667,-32,2014-01-22 10:10:00,15.87413,PZ
NRS,ROT20170914,Rottnest Island,115.41667,-32,2017-09-14 09:45:00,4.74652,FPZ
NRS,ROT20150507,Rottnest Island,115.41667,-32,2015-05-07 09:36:00,11.04902,PZ
NRS,ROT20181024,Rottnest Island,115.41667,-32,2018-10-24 09:18:00,13.39085,FPZ
NRS,ROT20150827,Rottnest Island,115.41667,-32,2015-08-27 11:15:00,3.96853,PZ
NRS,ROT20191104,Rottnest Island,115.41667,-32,2019-11-04 09:25:00,,FP
NRS,ROT20150701,Rottnest Island,115.41667,-32,2015-07-01 09:46:00,16.5421,Z
NRS,YON20110811,Yongala,147.61842,-19.30847,2011-08-11 11:00:00,4.44346,PZ
NRS,YON20111213,Yongala,147.61842,-19.30847,2011-12-13 12:55:00,12.17309,PZ
NRS,YON20170220,Yongala,147.61842,-19.30847,2017-02-20 10:29:00,7.20864,PZ
NRS,YON20170816,Yongala,147.61842,-19.30847,2017-08-16 10:24:00,6.06832,PZ
NRS,YON20191202,Yongala,147.61842,-19.30847,2019-12-03 09:45:00,22.50866,PZ
NRS,YON20200212,Yongala,147.61842,-19.30847,2020-02-13 09:47:00,33.71743,PZ
NRS,YON20120726,Yongala,147.61842,-19.30847,2012-07-26 11:00:00,19.04171,PZ
NRS,YON20171215,Yongala,147.61842,-19.30847,2017-12-15 10:44:00,34.71906,PZ
NRS,YON20100413,Yongala,147.61842,-19.30847,2010-04-13 14:14:00,27.09363,PZ
NRS,YON20100729,Yongala,147.61842,-19.30847,2010-07-29 11:22:00,8.24234,PZ
NRS,YON20110217,Yongala,147.61842,-19.30847,2011-02-17 11:30:00,25.29236,PZ
NRS,YON20170724,Yongala,147.61842,-19.30847,2017-07-24 10:45:00,4.99328,PZ
NRS,YON20160503,Yongala,147.61842,-19.30847,2016-05-03 10:01:00,14.90694,PZ
NRS,YON20161012,Yongala,147.61842,-19.30847,2016-10-12 10:26:00,14.40369,PZ
NRS,YON20140624,Yongala,147.61842,-19.30847,2014-06-24 10:53:00,1.27851,PZ
NWS,NWS_2.1,North West Shelf,120.6191,-18.1717,2015-01-19 23:55:00,,P
NWS,NWS_2.2,North West Shelf,120.6191,-18.1717,2015-01-19 23:55:01,,P
NWS,NWS_2.3,North West Shelf,120.6191,-18.1717,2015-01-19 23:55:02,,P
NWS,NWS_4.2,North West Shelf,120.6191,-18.1717,2015-01-21 00:15:01,,P
NWS,NWS_8.1,North West Shelf,120.6191,-18.1717,2015-01-22 10:04:00,,P
NWS,NWS_11.3,North West Shelf,120.6191,-18.1717,2015-01-23 04:02:01,,P
NWS,NWS_12.1,North West Shelf,120.6191,-18.1717,2015-01-23 07:01:00,,P
NWS,NWS_13.2,North West Shelf,120.6191,-18.1717,2015-01-23 10:00:01,,P
NWS,NWS_15.3,North West Shelf,120.6191,-18.1717,2015-01-24 01:34:02,,P
NWS,NWS_16.1,North West Shelf,120.6191,-18.1717,2015-01-24 04:04:00,,P
IIOE,IIOE20190517,International Indian Ocean Expedition,110,-39.34,2019-05-17 16:24:00,,PZ
IIOE,IIOE20190608,International Indian Ocean Expedition,111.384,-18.372,2019-06-08 15:45:00,,PZ
NRS Ichthyoplankton,NSF20160822,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2016-08-22 10:50:00,,F
NRS Ichthyoplankton,NSF20160920,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2016-09-20 10:15:00,,F
