LATITUDE,LONGITUDE,SAMPLE_TIME_UTC
-12.5,141.5,1988-03-17 00:00:00
-12.6,141.1,1988-03-17 00:00:00
-43.10662,147.71812,1993-04-22 00:00:00
-43.10662,147.71812,1994-02-28 00:00:00
-43.10662,147.71812,1994-03-17 00:00:00
-43.10662,147.03547,1994-02-21 00:00:00
-43.10662,147.71812,1994-10-20 00:00:00
-43.10662,147.71812,1995-02-06 00:00:00
-43.10662,147.71812,1995-04-18 00:00:00
-43.10662,147.03547,1994-12-12 00:00:00
-43.10662,147.71812,1994-10-10 00:00:00
-43.10662,147.03547,1994-10-06 00:00:00
-43.10662,147.71812,1995-05-15 00:00:00
-43.10662,147.71812,1994-05-16 00:00:00
-34.1176,151.2182,1999-12-03 00:00:00
-46.92399979,141.991333,(null)
-31.67,158.4,(null)
-34.1176,151.2182,2008-08-25 00:00:00
-45.88,157.17,(null)
-62.497,149.873,(null)
-41.12,143.83,(null)
-58.66,150.142,(null)
-47.1502,146.05,(null)
-35.561662,138.9607,2012-05-01 00:00:00
-35.549128,138.889847,2012-11-01 00:00:00
-35.749995,139.25909,2012-08-01 00:00:00
-35.62514,139.0767,2012-11-01 00:00:00
-35.867874,139.393587,2013-05-01 00:00:00
-35.668733,139.133949,2013-05-01 00:00:00
-66.57901333,141.33481,(null)
-35.576986,138.992114,2013-05-01 00:00:00
-67.00165167,144.99104,(null)
-66.33494,142.00623,(null)
-35.597857,139.027176,2013-05-01 00:00:00
-43.15000153,147.8500061,(null)
-46.75833511,142.0896606,1997-09-15 00:00:00
-51.122,126.177,(null)
-35.796095,139.318056,2013-05-01 00:00:00
-35.597857,139.027176,2012-02-01 00:00:00
-25,111.55,2007-05-31 10:26:00
-33,114.58,2005-08-07 16:51:35
-29,113.81,2007-05-26 15:14:00
-34.11758,151.21815,1998-01-08 00:00:00
-31.1,109.25,2003-10-20 05:43:00
-34.11758,151.21815,1997-05-14 00:00:00
-34.1176,151.2182,2002-11-20 00:00:00
(null),(null),2011-02-28 00:00:00
(null),(null),2009-09-14 00:00:00
(null),(null),2010-02-01 00:00:00
-23.614,113.6,2000-11-21 02:17:59
-24.443,112.715,2000-11-21 21:01:14
-25.417,113.066,2000-11-22 12:52:30
-32.5857,151.97,2009-09-14 00:00:00
-32.5857,151.97,2005-09-26 00:00:00
-21.545,113.965,2000-11-17 09:59:29
-30.9144,152.993,2008-10-07 00:00:00
(null),(null),2008-08-18 00:00:00
-30.9144,152.993,2005-12-20 00:00:00
-29.4324,153.348,2007-11-26 00:00:00
-29.4324,153.348,2014-06-10 00:00:00
-29.4324,153.348,2010-09-20 00:00:00
-32.8781,151.791,2007-01-11 00:00:00
-32.8781,151.791,2007-02-21 00:00:00
-32.8781,151.791,2005-11-29 00:00:00
-32.8781,151.791,2010-01-06 00:00:00
-32.8781,151.791,2008-04-09 00:00:00
-32.8781,151.791,2005-12-14 00:00:00
-30.8911,153.013,2010-10-26 00:00:00
-30.8911,153.013,2013-05-14 00:00:00
-30.8911,153.013,2010-03-02 00:00:00
-35.7046,150.18,2011-12-14 00:00:00
-35.7046,150.18,2012-04-30 00:00:00
-35.7046,150.18,2014-07-17 00:00:00
-35.7046,150.18,2007-11-04 00:00:00
-35.7046,150.18,2005-10-18 00:00:00
-35.7046,150.18,2007-07-04 00:00:00
(null),(null),2014-05-13 00:00:00
-30.9144,152.993,2012-10-25 00:00:00
-35.7046,150.18,2010-02-10 00:00:00
-35.7046,150.18,2010-11-14 00:00:00
-31.6818,152.781,2007-04-11 00:00:00
-31.6818,152.781,2005-11-17 00:00:00
-31.6818,152.781,2007-01-02 00:00:00
-31.6433,152.826,2013-12-18 00:00:00
-31.6818,152.781,2012-12-16 00:00:00
-31.6433,152.826,2009-09-29 00:00:00
-32.6706,152.123,2008-07-08 00:00:00
-32.6706,152.123,2009-03-02 00:00:00
-31.6276,152.791,2011-03-15 00:00:00
-31.6276,152.791,2011-09-06 00:00:00
-32.6706,152.123,2011-02-14 00:00:00
-32.6706,152.123,2006-07-22 00:00:00
-32.6706,152.123,2006-02-14 00:00:00
-32.6706,152.123,2012-11-18 00:00:00
-32.6706,152.123,2006-05-24 00:00:00
-32.6706,152.123,2013-06-30 00:00:00
-32.6706,152.123,2012-09-24 00:00:00
-32.6706,152.123,2006-12-31 00:00:00
-32.6698,152.168,2008-03-04 00:00:00
-32.6698,152.168,2007-12-31 00:00:00
-32.6698,152.168,2010-04-12 00:00:00
-31.3983,152.891,2008-01-16 00:00:00
-31.3983,152.891,2009-12-21 00:00:00
-32.6698,152.168,2010-06-28 00:00:00
-32.6698,152.168,2013-08-12 00:00:00
-32.6698,152.168,2013-10-20 00:00:00
-32.6698,152.168,2012-03-05 00:00:00
-32.6698,152.168,2011-02-28 00:00:00
-31.3983,152.891,2012-09-25 00:00:00
-33.5397,151.145,2010-08-28 00:00:00
-35.7051,150.141,2009-01-29 00:00:00
-35.7051,150.141,2014-05-06 00:00:00
-35.7051,150.141,2008-04-01 00:00:00
-33.5604,151.151,2010-12-16 00:00:00
-33.5604,151.151,2007-03-08 00:00:00
-33.5604,151.151,2010-06-16 00:00:00
-33.5604,151.151,2010-11-10 00:00:00
-33.5604,151.151,2010-04-19 00:00:00
-35.7051,150.141,2011-11-22 00:00:00
-35.7051,150.141,2014-01-07 00:00:00
-33.5552,151.233,2013-09-15 00:00:00
-33.5397,151.145,2006-08-16 00:00:00
-33.5397,151.145,2014-05-12 00:00:00
-33.5397,151.145,2008-07-14 00:00:00
-33.5397,151.145,2009-01-12 00:00:00
-33.5552,151.233,2007-03-22 00:00:00
-33.5552,151.233,2011-11-15 00:00:00
-33.5552,151.233,2011-09-15 00:00:00
-33.5552,151.233,2012-02-28 00:00:00
-33.5552,151.233,2007-04-26 00:00:00
-33.5397,151.145,2012-11-15 00:00:00
-33.5397,151.145,2013-02-14 00:00:00
-33.49,151.351,2005-12-05 00:00:00
-35.6729,150.129,2006-11-01 00:00:00
-35.6729,150.129,2011-07-28 00:00:00
-35.6729,150.129,2013-11-07 00:00:00
-35.6729,150.129,2011-11-22 00:00:00
-31.9417,152.603,2014-04-22 00:00:00
-33.5552,151.233,2010-04-12 00:00:00
-31.8899,152.655,2014-08-05 00:00:00
-31.8899,152.655,2007-11-05 00:00:00
-33.5228,151.233,2013-04-29 00:00:00
-31.8805,152.594,2012-06-21 00:00:00
-31.8805,152.594,2012-09-26 00:00:00
-31.8899,152.655,2012-10-08 00:00:00
-31.8805,152.594,2013-09-26 00:00:00
-31.8805,152.594,2014-04-07 00:00:00
-35.6729,150.129,2008-02-06 00:00:00
-35.6729,150.129,2006-12-17 00:00:00
-35.6729,150.129,2008-12-14 00:00:00
-33.4632,151.326,2006-08-14 00:00:00
-33.4632,151.326,2013-11-04 00:00:00
-33.5203,151.351,2013-12-02 00:00:00
-32.6843,151.997,2006-12-11 00:00:00
-32.6843,151.997,2007-04-29 00:00:00
-32.6843,151.997,2008-03-24 00:00:00
-32.6843,151.997,2013-07-29 00:00:00
-32.6843,151.997,2014-04-28 00:00:00
-33.49,151.351,2007-11-19 00:00:00
-32.6843,151.997,2011-06-20 00:00:00
-33.49,151.351,2011-07-11 00:00:00
-33.49,151.351,2012-09-10 00:00:00
-33.49,151.351,2014-06-05 00:00:00
-33.49,151.351,2011-12-05 00:00:00
-32.7614,151.986,2010-10-25 00:00:00
-32.7614,151.986,2012-05-28 00:00:00
-32.7614,151.986,2006-02-02 00:00:00
-32.7614,151.986,2013-04-08 00:00:00
-33.4937,151.373,2007-02-19 00:00:00
-33.4937,151.373,2013-06-05 00:00:00
(null),(null),2006-09-18 00:00:00
-32.7614,151.986,2010-03-22 00:00:00
-32.6843,151.997,2009-07-13 00:00:00
-33.4937,151.373,2010-09-20 00:00:00
-32.6989,152.06,2007-11-05 00:00:00
-32.6989,152.06,2008-09-22 00:00:00
-32.6989,152.06,2009-03-02 00:00:00
-32.733,152.053,2014-04-28 00:00:00
-32.733,152.053,2006-03-26 00:00:00
-32.733,152.053,2013-05-27 00:00:00
-34.0166,151.186,2008-12-22 00:00:00
-32.6989,152.06,2010-05-31 00:00:00
-32.6989,152.06,2006-01-15 00:00:00
-32.6989,152.06,2011-10-31 00:00:00
-32.7614,151.986,2006-10-17 00:00:00
-32.7614,151.986,2009-02-16 00:00:00
-32.7614,151.986,2006-06-24 00:00:00
-32.6989,152.06,2012-08-27 00:00:00
-32.6989,152.06,2013-05-27 00:00:00
-32.6989,152.06,2012-04-02 00:00:00
-34.0166,151.186,2013-04-03 00:00:00
-34.0166,151.186,2012-10-09 00:00:00
-34.0166,151.186,2012-02-20 00:00:00
-34.0166,151.186,2012-07-19 00:00:00
-34.0166,151.186,2006-05-23 00:00:00
-34.0166,151.186,2007-09-13 00:00:00
-34.0166,151.186,2007-12-04 00:00:00
-32.733,152.053,2009-12-08 00:00:00
-32.733,152.053,2011-06-27 00:00:00
-32.733,152.053,2009-05-04 00:00:00
-36.4238,150.054,2011-02-14 00:00:00
-32.7226,152.065,2008-10-06 00:00:00
-32.7226,152.065,2005-08-10 00:00:00
-36.4238,150.054,2007-02-26 00:00:00
-36.4238,150.054,2012-08-28 00:00:00
-36.4238,150.054,2006-12-14 00:00:00
-36.4238,150.054,2007-02-05 00:00:00
-32.7226,152.065,2013-09-10 00:00:00
-32.7226,152.065,2014-02-03 00:00:00
-32.7226,152.065,2013-10-20 00:00:00
-32.7226,152.065,2010-12-13 00:00:00
-36.8985,149.887,2007-07-24 00:00:00
-36.8985,149.887,2007-10-02 00:00:00
-36.8985,149.887,2009-03-30 00:00:00
-36.8926,149.92,2010-06-22 00:00:00
-36.8985,149.887,2011-08-17 00:00:00
-36.8985,149.887,2011-04-12 00:00:00
-36.8985,149.887,2010-08-23 00:00:00
-36.8985,149.887,2014-02-23 00:00:00
-36.8985,149.887,2012-04-08 00:00:00
-36.8985,149.887,2013-03-03 00:00:00
-36.8985,149.887,2013-12-29 00:00:00
-36.8985,149.887,2012-01-30 00:00:00
(null),(null),2006-12-04 00:00:00
(null),(null),2008-04-23 00:00:00
(null),(null),2007-10-15 00:00:00
(null),(null),2008-01-29 00:00:00
(null),(null),2006-09-24 00:00:00
-30.7084,152.95,2006-11-21 00:00:00
-30.6701,152.987,2011-01-26 00:00:00
-30.7084,152.95,2006-04-26 00:00:00
-30.7084,152.95,2012-06-19 00:00:00
-30.8515,153.003,2008-11-17 00:00:00
-30.8515,153.003,2008-12-03 00:00:00
-30.8515,153.003,2006-01-30 00:00:00
-36.8926,149.92,2010-12-07 00:00:00
-36.8926,149.92,2012-07-03 00:00:00
-36.8926,149.92,2013-02-17 00:00:00
-36.8926,149.92,2006-02-20 00:00:00
-30.6701,152.987,2008-06-17 00:00:00
-30.6701,152.987,2006-07-07 00:00:00
(null),(null),2013-12-11 00:00:00
-36.8926,149.92,2008-06-27 00:00:00
-36.8926,149.92,2006-12-19 00:00:00
-36.8926,149.92,2005-10-04 00:00:00
-36.8926,149.92,2006-08-21 00:00:00
(null),(null),2011-12-18 00:00:00
(null),(null),2010-08-25 00:00:00
(null),(null),2010-11-22 00:00:00
-30.8515,153.003,2005-12-12 00:00:00
(null),(null),2010-07-29 00:00:00
(null),(null),2013-05-30 00:00:00
-33.5326,151.265,2013-04-30 00:00:00
-33.5326,151.265,2012-12-17 00:00:00
-33.5326,151.265,2010-09-29 00:00:00
-30.7084,152.95,2005-09-21 00:00:00
-32.6648,152.052,2010-10-31 00:00:00
-32.6648,152.052,2010-03-22 00:00:00
-32.6648,152.052,2010-11-08 00:00:00
-32.6648,152.052,2010-06-15 00:00:00
-32.692,152.126,2008-04-01 00:00:00
-32.692,152.126,2011-08-28 00:00:00
-32.692,152.126,2010-07-26 00:00:00
-32.692,152.126,2007-04-21 00:00:00
-36.9674,149.889,2005-08-23 00:00:00
(null),(null),2010-12-15 00:00:00
(null),(null),2011-01-19 00:00:00
-32.6648,152.052,2006-10-07 00:00:00
-32.6648,152.052,2009-04-20 00:00:00
-32.6648,152.052,2006-07-04 00:00:00
-32.6648,152.052,2007-12-17 00:00:00
-28.8763,153.569,2012-10-29 00:00:00
-28.8763,153.569,2007-12-19 00:00:00
-28.8763,153.569,2006-01-16 00:00:00
-32.6648,152.052,2014-01-20 00:00:00
-32.6648,152.052,2013-04-08 00:00:00
-34.8628,150.732,2011-03-16 00:00:00
(null),(null),2006-11-28 00:00:00
-34.8628,150.732,2012-08-27 00:00:00
-34.8628,150.732,2011-01-31 00:00:00
(null),(null),2008-11-27 00:00:00
-37.0763,149.892,2014-03-25 00:00:00
-37.0763,149.892,2007-09-05 00:00:00
-37.0763,149.892,2005-08-08 00:00:00
-37.0763,149.892,2014-02-11 00:00:00
-34.8984,150.744,2012-04-02 00:00:00
-34.8984,150.744,2012-05-29 00:00:00
-37.0763,149.892,2010-11-23 00:00:00
-34.8984,150.744,2008-11-27 00:00:00
-34.8984,150.744,2009-05-13 00:00:00
-34.8984,150.744,2009-10-28 00:00:00
-34.8984,150.744,2010-06-23 00:00:00
-37.0763,149.892,2010-07-06 00:00:00
-34.8628,150.732,2008-07-10 00:00:00
-34.8628,150.732,2009-02-19 00:00:00
-34.8984,150.744,2011-02-28 00:00:00
