TAXON_NAME,START_DATE,PARENT_NAME,TRAINING,COMMENTS
Tripos longipes,2008-09-29,,,
Tripos hexacanthus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Chaetoceros (Hyalochaete),2012-08-07,Chaetoceros spp.,,Chaetoceros subgroups not identified previoulsy in NRS samples
Chaetoceros (Phaeoceros),2012-08-07,Chaetoceros spp.,,Chaetoceros subgroups not identified previoulsy in NRS samples
Coccolithophore cf.,2012-08-07,,Pru Bonham 2012-03-01,Not previously counted in NRS samples
Corethron spp.,2008-09-29,,,
Coscinodiscus spp. > 80 µm,2008-09-29,,,
Dactyliosolen spp.,2008-09-29,,,
Ditylum spp.,2008-09-29,,,
Eucampia spp. <100 µm cell length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Flagellate,2008-09-29,,,
Foraminifera,2012-08-07,,,Forams not previously counted in NRS samples
Fragilaria spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Guinardia spp.,2008-09-29,,,
Hemiaulus spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Lauderia spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Leptocylindrus spp.,2012-08-07,,Pru Bonham 2012-03-01,Leptocylindrus previoulsy speciated in NRS samples
Melosira spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Navicula - shaped,2008-09-29,,,
Nematocysts,2008-09-29,,,
Nitzschia spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Protoperidinium spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Phaeocystis spp. (colony),2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Proboscia spp.,2008-09-29,,,
Pseudo-nitzschia spp.,2008-09-29,,,
Rhizosolenia spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Silicoflagellate,2008-09-29,,,
Skeletonema spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Thalassionema spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
