TAXON_NAME,START_DATE,PARENT_NAME,TRAINING,COMMENTS
Gyrodinium spp. 40-60 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Dactyliosolen phuketensis,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Eucampia spp. >100 µm cell length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Navicula cf. 140-160 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Rhizosolenia striata,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Odontella spp. 150-200 µm cell length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Coscinodiscus spp. 150-200 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Neostreptotheca subindica,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Pyrocystis fusiformis,2008-09-29,,,
Tripos tenuis,2012-08-07,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Chaetoceros debilis,2008-09-29,,,Dave McCleod identified for Maria Island but not done routinely in Brisbane
Dactyliosolen fragilissimus >150 µm length,2012-08-07,Dactyliosolen fragilissimus,Pru Bonham 2012-03-01,New size classes decided on with Pru Bonham
Gonyaulax digitale,2008-09-29,,,
Gymnodinium catenatum,2008-09-29,,,
Karenia papilionacea,2008-09-29,,,
Mastogloia spp.,2008-09-29,,,Pru Bonham/Gustaaf Hallegraeff identified from photo
Odontella mobiliensis,2012-08-07,Odontella spp. ~50 µm cell length,Pru Bonham 2012-03-01,Odontella not previously speciated in NRS samples
Odontella sinensis,2012-08-07,Odontella spp. ~50 µm cell length,Pru Bonham 2012-03-01,Odontella not previously speciated in NRS samples
Polykrikos schwarzii,2008-09-29,,,
Protoperidinium divergens,2008-09-29,,,
Scenedesmus spp.,2008-09-29,,,
Cryptophyta > 10 µm length,2008-09-29,,,
Amphidinium spp. >30 µm cell height,2008-09-29,,,
Guinardia flaccida >150 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Mesoporos perforatus,2008-09-29,,,
Phalacroma mitra,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Phalacroma jibbonense,2008-09-29,,,
Phalacroma alata,2008-09-29,,,
Dinophysis truncata,2008-09-29,,,
Dinophysis acuta,2008-09-29,,,
Dinophysis hastata,2008-09-29,,,
Ornithocercus quadratus,2008-09-29,,,
Parahistioneis rotundata,2008-09-29,,,
Diplopsalis lenticula,2008-09-29,,,
Peridinium willei,2008-09-29,,,
Peridinium gatunense,2008-09-29,,,
Protoperidinium roseum,2008-09-29,,,
Diplopsalis ovum,2008-09-29,,,
Protoperidinium pedunculatum,2008-09-29,,,
Protoperidinium brochii,2008-09-29,,,
Protoperidinium wiesneri,2008-09-29,,,
Protoperidinium claudicans,2008-09-29,,,
Gonyaulax alaskensis,2008-09-29,,,
Heterodinium blackmanii,2008-09-29,,,
Tripos fusus var. schuettii,2008-09-29,,,
Tripos dens,2008-09-29,,,
Tripos reflexus,2008-09-29,,,
Tripos massiliensis var. protuberans,2008-09-29,,,
Goniodoma polyedricum,2008-09-29,,,
Oxytoxum turbo,2008-09-29,,,
Oxytoxum diploconus,2008-09-29,,,
Podolampas bipes var. reticulata,2008-09-29,,,
Pyrocystis robusta,2008-09-29,,,
Melosira nummuloides,2008-09-29,,,
Podosira stelligera,2008-09-29,,,
Thalassiosira subtilis,2008-09-29,,,
Odontella regia,2008-09-29,,,
Triceratium reticulum,2008-09-29,,,
Chaetoceros cinctus,2008-09-29,,,
Chaetoceros diadema,2008-09-29,,,
Campyloneis spp.,2008-09-29,,,
Gymnodinium nanum,2008-09-29,,,
Helladosphaera cornifera,2008-09-29,,,
Syracosphaera lamina,2008-09-29,,,
Bellerochea horologicalis,2008-09-29,,,
Thalassionema bacillare,2008-09-29,,,
Coscinodiscus perforatus,2008-09-29,,,
Dinophysis miles,2008-09-29,,,
Gonyaulax birostris,2008-09-29,,,
Gonyaulax hyalina,2008-09-29,,,
Nitzschia braarudii,2008-09-29,,,
Nitzschia sigma,2008-09-29,,,
Oxytoxum subulatum,2008-09-29,,,
Pleurosigma diversestriatum,2008-09-29,,,
Podolampas elegans,2008-09-29,,,
Fragilariopsis doliolus,2008-09-29,,,
Goniodoma sphaericum,2008-09-29,,,
Triceratium favus,2008-09-29,,,
Pontosphaera japonica,2008-09-29,,,
Tropidoneis spp.,2008-09-29,,,
Prorocentrum lima,2008-09-29,,,
Dinophysis irregularis,2008-09-29,,,
Phalacroma acutum,2008-09-29,,,
Dinophysis okamurae,2008-09-29,,,
Amphisolenia palmata,2008-09-29,,,
Amphidinium kesselitzii,2008-09-29,,,
Amphidinium sulcatum,2008-09-29,,,
Protoperidinium applanatum,2008-09-29,,,
Protoperidinium conicum,2008-09-29,,,
Protoperidinium pentagonum,2008-09-29,,,
Gonyaulax fragilis,2008-09-29,,,
Gonyaulax turbynei,2008-09-29,,,
Spiraulax jolliffei,2008-09-29,,,
Tripos geniculatus,2008-09-29,,,
Tripos petersenii,2008-09-29,,,
Tripos longissimus,2008-09-29,,,
Centrodinium spp.,2008-09-29,,,
Skeletonema costatum,2008-09-29,,,
Coscinodiscus concavus,2008-09-29,,,
Climacodium biconcavum,2008-09-29,,,
Bacteriastrum furcatum,2012-08-07,,,Bacteriastrum not routinely speciated previoulsy in NRS samples
Peridiniopsis spp.,2008-09-29,,,
Gymnodinium simplex,2008-09-29,,,
Minidiscus trioculatus,2008-09-29,,,
Micromonas pusilla,2008-09-29,,,
Phaeocystis pouchetii,2008-09-29,,,
Thalassiosira oceanica,2008-09-29,,,
Umbilicosphaera hulburtiana,2008-09-29,,,
Bacteriastrum hyalinum,2012-08-07,,,Bacteriastrum not routinely speciated previoulsy in NRS samples
Chaetoceros anastomosans,2008-09-29,,,
Chaetoceros radicans,2008-09-29,,,
Eucampia zodiacus,2008-09-29,Eucampia spp. >100 µm cell length,,Eucampia not previously speciated in NRS samples
Thalassiosira leptopus,2008-09-29,,,
Thalassiosira simonsenii,2008-09-29,,,
Stellarima stellaris,2008-09-29,,,
Phalacroma circumcinctum,2008-09-29,,,
Diploneis bombus,2008-09-29,,,
Eunotia spp.,2008-09-29,,,
Gyrosigma spp.,2008-09-29,,,
Histioneis pulchra,2008-09-29,,,
Ornithocercus skogsbergii,2008-09-29,,,
Pleurosigma / Gyrosigma spp.,2008-09-29,,,
Protoperidinium grande,2008-09-29,,,
Tripos brevis,2008-09-29,,,
Mesodinium spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Pronoctiluca spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Rhaphoneis amphiceros,2008-09-29,,,
Delphineis surirella,2008-09-29,,,
Trigonium alternans,2008-09-29,,,
Coccolithus spp.,2008-09-29,,,
Thalassiothrix longissima,2008-09-29,,,
Amphisolenia curvata,2008-09-29,,,
Amphisolenia thrinax,2008-09-29,,,
Histioneis depressa,2008-09-29,,,
Protoperidinium nudum,2008-09-29,,,
Protoperidinium pallidum,2008-09-29,,,
Gonyaulax minima,2008-09-29,,,
Thalassiosira baltica,2008-09-29,,,
Coscinodiscus centralis,2008-09-29,,,
Hemiaulus indicus,2012-08-07,Hemiaulus spp.,Pru Bonham 2012-03-01,Hemiaulus not previously speciated in NRS samples
Helicotheca tamesis,2008-09-29,,,
Chaetoceros borealis,2008-09-29,,,
Chaetoceros sociale,2008-09-29,,,
Rhizosolenia hebetata,2008-09-29,,,
Blepharocysta spp.,2008-09-29,,,
Pseudo-nitzschia seriata,2008-09-29,,,
Cryptomonas spp.,2008-09-29,,,
Calciopappus caudatus,2008-09-29,,,
Gephyrocapsa oceanica,2008-09-29,,,
Michaelsarsia adriaticus,2008-09-29,,,
Pyramimonas spp.,2008-09-29,,,
Thalassiosira spinosa,2008-09-29,,,
Trichodesmium thiebautii,2008-09-29,,,
Cyclotella striata,2008-09-29,,,
Cymatosira lorenziana,2012-08-07,,,Ciliates not previously counted in NRS samples
Diplopsalopsis bomba,2008-09-29,,,
Tryblionella compressa,2008-09-29,,,
Pinnularia spp.,2008-09-29,,,
Pleurosigma directum,2008-09-29,,,
Protoceratium areolatum,2008-09-29,,,
Phalacroma operculatum,2008-09-29,,,
Phalacroma porosum,2008-09-29,,,
Phalacroma whiteleggei,2008-09-29,,,
Pronoctiluca pelagica,2008-09-29,,,
Diplopsalis acuta,2008-09-29,,,
Parvodinium centenniale,2008-09-29,,,
Protoperidinium ovatum,2008-09-29,,,
Protoperidinium curvipes,2008-09-29,,,
Protoperidinium remotum,2008-09-29,,,
Protoperidinium turbinatum,2008-09-29,,,
Gonyaulax conjuncta,2008-09-29,,,
Gonyaulax apiculata,2008-09-29,,,
Gonyaulax kofoidii,2008-09-29,,,
Gonyaulax spinifera,2008-09-29,,,
Ceratium hirundinella,2008-09-29,,,
Tripos eugrammus,2008-09-29,,,
Ceratium porrectum,2008-09-29,,,
Ornithocercus heteroporus,2008-09-29,,,
Pronoctiluca spinifera,2008-09-29,,,
Amphidinium klebsii,2008-09-29,,,
Protoperidinium quarnerense,2008-09-29,,,
Protoperidinium crassipes,2008-09-29,,,
Protoperidinium marie-lebouriae,2008-09-29,,,
Gonyaulax diegensis,2008-09-29,,,
Tripos concilians,2012-08-07,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos azoricus,2012-08-07,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Ceratium horridus var. buceros,2008-09-29,,,
Tripos pavillardii,2008-09-29,,,
Tripos deflexus,2008-09-29,,,
Podolampas palmipes,2008-09-29,,,
Melosira jurgensii,2008-09-29,,,
Stephanopyxis palmeriana,2008-09-29,,,
Stephanopyxis turris,2008-09-29,,,
Thalassiosira aestivalis,2008-09-29,,,
Coscinodiscus gigas,2008-09-29,,,
Coscinodiscus curvatulus,2008-09-29,,,
Streptotheca indica,2008-09-29,,,
Chaetoceros castracanei,2008-09-29,,,
Chaetoceros concavicornis,2008-09-29,,,
Chaetoceros laciniosus,2008-09-29,,,
Hemidiscus cuneiformis,2008-09-29,,,
Asterionella spp.,2008-09-29,,,
Plagioselmis spp.,2008-09-29,,,
Algirosphaera robusta,2008-09-29,,,
Nanoneis hasleae,2008-09-29,,,
Nephroselmis pyriformis,2008-09-29,,,
Chaetoceros diversus,2008-09-29,,,
Pseudo-nitzschia fraudulenta,2008-09-29,,,
Asteromphalus sarcophagus,2008-09-29,,,
Corythodinium elegans,2008-09-29,,,
Nitzschia marina,2008-09-29,,,
Nitzschia sicula,2008-09-29,,,
Protoperidinium divaricatum,2008-09-29,,,
Protoperidinium sourniae,2008-09-29,,,
Protoperidinium tuba,2008-09-29,,,
Roperia tesselata,2008-09-29,,,
Amphidinium acutissimum,2008-09-29,,,
Amphisolenia laticincta,2008-09-29,,,
Prorocentrum dentatum,2008-09-29,,,
Phalacroma cuneus,2008-09-29,,,
Phalacroma spp.,2008-09-29,,,
Dinophysis sacculus,2008-09-29,,,
Hemiaulus membranaceus,2012-08-07,Hemiaulus spp.,Pru Bonham 2012-03-01,Hemiaulus not previously speciated in NRS samples
Strombidium spp.,2012-08-07,,Pru Bonham 2012-03-01,Ciliates not previously counted in NRS samples
Protorhabdonella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Hemiaulus hauckii,2012-08-07,Hemiaulus spp.,Pru Bonham 2012-03-01,Hemiaulus not previously speciated in NRS samples
Ornithocercus steinii,2008-09-29,,,
Cochlodinium archimedis,2008-09-29,,,
Oblea rotunda,2008-09-29,,,
Protoperidinium abei,2008-09-29,,,
Parvodinium umbonatum,2008-09-29,,,
Peridinium hirobis,2008-09-29,,,
Heterodinium asymmetricum,2008-09-29,,,
Tripos incisus,2008-09-29,,,
Tripos minutus,2008-09-29,,,
Tripos limulus,2008-09-29,,,
Ceratium vultur var. japonicum,2008-09-29,,,
Ceratocorys gourretii,2008-09-29,,,
Pyrocystis fusiformis f. biconica,2008-09-29,,,
Pyrocystis spp.,2008-09-29,,,
Thalassiosira angulata,2008-09-29,,,
Lauderia annulata,2008-09-29,,,
Auliscus sculptus,2008-09-29,,,
Triceratium dubium,2008-09-29,,,
Isthmia enervis,2008-09-29,,,
Tripos volans,2008-09-29,,,
Tripos gallicus,2008-09-29,,,
Tripos compressus,2008-09-29,,,
Pyrocystis acuta,2008-09-29,,,
Melosira moniliformis,2008-09-29,,,
Stephanopyxis cruciata,2008-09-29,,,
Odontella aurita,2008-09-29,Odontella spp. ~50 µm cell length,Pru Bonham 2012-03-01,Odontella not previously speciated in NRS samples
Lithodesmium undulatum,2008-09-29,,,
Chaetoceros coarctatus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros vanheurckii,2008-09-29,,,
Proboscia alata f. gracillima,2008-09-29,,,
Paralia spp.,2008-09-29,,,
Actinoptychus spp.,2008-09-29,,,
Balechina spp.,2008-09-29,,,
Calyptrolithina wettsteinii,2008-09-29,,,
Coronosphaera mediterranea,2008-09-29,,,
Chrysochromulina pringsheimii,2008-09-29,,,
Gymnodinium punctatum,2008-09-29,,,
Nitzschia fonticola,2008-09-29,,,
Scyphosphaera apsteinii,2008-09-29,,,
Thalassiosira partheneia,2008-09-29,,,
Thalassiosira sackettii,2008-09-29,,,
Asterolampra marylandica,2008-09-29,,,
Biddulphia tuomeyi,2008-09-29,,,
Tripos depressus,2008-09-29,,,
Phalacroma rapa,2008-09-29,,,
Prorocentrum triestinum,2008-09-29,,,
Triceratium broeckii,2008-09-29,,,
Oxytoxum globosum,2008-09-29,,,
Phalacroma lens,2008-09-29,,,
Phalacroma mawsonii,2008-09-29,,,
Dinophysis similis,2008-09-29,,,
Dinophysis schroederi,2008-09-29,,,
Ornithocercus thumii,2008-09-29,,,
Histioneis milneri,2008-09-29,,,
Oxyrrhis marina,2008-09-29,,,
Pronoctiluca acuta,2008-09-29,,,
Protoperidinium latispinum,2008-09-29,,,
Protoperidinium steinii,2008-09-29,,,
Protoperidinium brevipes,2008-09-29,,,
Peridinium okamurae,2008-09-29,,,
Protoperidinium leonis,2008-09-29,,,
Protoperidinium subinerme,2008-09-29,,,
Gonyaulax pacifica,2008-09-29,,,
Heterodinium doma,2008-09-29,,,
Tripos candelabrum var. depressus,2008-09-29,,,
Tripos balticus,2008-09-29,,,
Tripos humilis,2008-09-29,,,
Tripos sumatranus,2008-09-29,,,
Tripos massiliensis f. armatus,2008-09-29,,,
Tripos carnegiei,2008-09-29,,,
Podolampas bipes,2008-09-29,,,
Pyrocystis hamulus var. semicircularis,2008-09-29,,,
Coscinodiscus marginatus,2008-09-29,,,
Actinoptychus adriaticus,2008-09-29,,,
Triceratium pentacrinus,2008-09-29,,,
Triceratium tessellatum,2008-09-29,,,
Chaetoceros secundus,2008-09-29,,,
Chaetoceros difficilis,2008-09-29,,,
Chaetoceros rostratus,2008-09-29,,,
Detonula spp.,2008-09-29,,,
Plagiotropis spp.,2008-09-29,,,
Tetraselmis spp.,2008-09-29,,,
Calciosolenia murrayi,2008-09-29,,,
Syracosphaera molischii,2008-09-29,,,
Calcidiscus leptoporus,2008-09-29,,,
Syracosphaera anthos,2008-09-29,,,
Thalassiosira allenii,2008-09-29,,,
Thalassiosira diporocyclus,2008-09-29,,,
Umbilicosphaera sibogae,2008-09-29,,,
Chaetoceros atlanticus var. neapolitanus,2008-09-29,,,
Chaetoceros laeve,2008-09-29,,,
Pseudo-nitzschia lineola,2008-09-29,,,
Thalassiosira punctifera,2008-09-29,,,
Lioloma delicatulum,2008-09-29,,,
Navicula cf. 80-100 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cerataulina large gametes,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Thalassionema frauenfeldii,2008-09-29,,,
Hemiaulus sinensis,2012-08-07,Hemiaulus spp.,Pru Bonham 2012-03-01,Hemiaulus not previously speciated in NRS samples
Trichodesmium erythraeum,2008-09-29,,,
Actinoptychus trilingulatus,2008-09-29,,,
Azpeitia nodulifera,2008-09-29,,,
Coscinodiscus reniformis,2008-09-29,,,
Centric diatom 10-20 µm,2008-09-29,,,
Diploneis nitescens,2008-09-29,,,
Mastogloia rostrata,2008-09-29,,,
Pseudo-nitzschia americana,2008-09-29,,,
Podolampas spinifera,2008-09-29,,,
Skeletonema menzelii,2008-09-29,,,
Gephyrocapsa muellerae,2008-09-29,,,
Scyphosphaera spp.,2008-09-29,,,
Lioloma elongatum,2008-09-29,,,
Prorocentrum scutellum,2008-09-29,,,
Phalacroma apicatum,2008-09-29,,,
Dinophysis sphaerica,2008-09-29,,,
Amphisolenia bidentata,2008-09-29,,,
Parahistioneis reticulata,2008-09-29,,,
Cochlodinium helix,2008-09-29,,,
Peridinium africanum,2008-09-29,,,
Protoperidinium cerasus,2008-09-29,,,
Protoperidinium decipiens,2008-09-29,,,
Peridinium monacanthum,2008-09-29,,,
Protoperidinium diabolum,2008-09-29,,,
Protoperidinium variegatum,2008-09-29,,,
Protoperidinium solidicorne,2008-09-29,,,
Protoperidinium elegans,2008-09-29,,,
Protoperidinium achromaticum,2008-09-29,,,
Protoperidinium depressum,2008-09-29,,,
Gonyaulax monacantha,2008-09-29,,,
Lingulodinium polyedrum,2008-09-29,,,
Gonyaulax verior,2008-09-29,,,
Heterodinium scrippsii,2008-09-29,,,
Schuettiella mitra,2008-09-29,,,
Thalassiosira hyalina,2008-09-29,,,
Coscinodiscus granii,2008-09-29,,,
Actinoptychus senarius,2008-09-29,,,
Cerataulina chapmanii,2008-09-29,,,
Chaetoceros atlanticus f. audax,2008-09-29,,,
Chaetoceros teres,2008-09-29,,,
Bacteriastrum delicatulum,2012-08-07,,,Bacteriastrum not routinely speciated previoulsy in NRS samples
Rhizosolenia curvata,2008-09-29,,,
Histioneis spp.,2008-09-29,,,
Calciosolenia brasiliensis,2008-09-29,,,
Hemiselmis spp.,2008-09-29,,,
Oxytoxum caudatum,2008-09-29,,,
Syracosphaera pulchra,2008-09-29,,,
Bacteriastrum comosum,2012-08-07,,,
Chaetoceros pseudocurvisetus,2008-09-29,,,
Pseudo-nitzschia heimii,2008-09-29,,,
Pseudo-nitzschia pungens,2008-09-29,,,
Actinocyclus ehrenbergii,2008-09-29,,,
Bacillaria paxillifera,2008-09-29,,,
Campylodiscus spp.,2008-09-29,,,
Coscinodiscus janischii,2008-09-29,,,
Ditylum sol,2008-09-29,,,
Histioneis mitchellana,2008-09-29,,,
Trachyneis aspera,2008-09-29,,,
Syracosphaera spp.,2008-09-29,,,
Gymnodinium uberrimum,2008-09-29,,,
Prorocentrum rostratum,2008-09-29,,,
Phalacroma rudgei,2008-09-29,,,
Dinophysis argus,2008-09-29,,,
Phalacroma minutum,2008-09-29,,,
Dinophysis uracantha,2008-09-29,,,
Triceratium spp.,2008-09-29,,,
Diplopsalis spp.,2008-09-29,,,
Plagiogramma spp.,2008-09-29,,,
Rhaphoneis spp.,2008-09-29,,,
Daktylethra pirus,2008-09-29,,,
Calyptrolithophora spp.,2008-09-29,,,
Gephyrocapsa ericsonii,2008-09-29,,,
Oolithotus fragilis,2008-09-29,,,
Rhabdolithes claviger,2008-09-29,,,
Syracosphaera pirus,2008-09-29,,,
Rhizosolenia hyalina,2008-09-29,,,
Asteromphalus flabellatus,2008-09-29,,,
Asteromphalus heptactis,2008-09-29,,,
Amphisolenia asymmetrica,2008-09-29,,,
Tripos digitatus,2008-09-29,,,
Coscinodiscus jonesianus,2008-09-29,,,
Heterodinium milneri,2008-09-29,,,
Ornithocercus francescae,2008-09-29,,,
Parahistioneis para,2008-09-29,,,
Pleurosigma normanii,2008-09-29,,,
Pyrophacus horologicum,2008-09-29,,,
Braarudosphaera bigelowii,2008-09-29,,,
Dictyocysta elegans,2012-08-07,,,Tintinnids not previously counted in NRS samples
Umbellosphaera tenuis,2008-09-29,,,
Pontosphaera multipora,2008-09-29,,,
Oxytoxum elongatum,2008-09-29,,,
Coscinodiscus concinnus,2008-09-29,,,
Ehrenbergiulva granulosa,2008-09-29,,,
Ceratium pulchellum f. semipulchellum,2008-09-29,,,
Preperidinium spp.,2008-09-29,,,
Leucocryptos marina,2008-09-29,,,
Michaelsarsia elegans,2008-09-29,,,
Thalassiosira mala,2008-09-29,,,
Diploneis crabro,2008-09-29,,,
Psammodictyon panduriforme,2008-09-29,,,
Synedra toxoneides,2008-09-29,,,
Gymnodinium cinctum,2008-09-29,,,
Phalacroma ovum,2008-09-29,,,
Phalacroma favus,2008-09-29,,,
Amphidinium inflatum,2008-09-29,,,
Protoperidinium thorianum,2008-09-29,,,
Peridinium ampulliforme,2008-09-29,,,
Tripos cephalotus,2008-09-29,,,
Tripos seta,2008-09-29,,,
Ceratocorys armata,2008-09-29,,,
Coccolithus pelagicus,2008-09-29,,,
Amphisolenia bispinosa,2008-09-29,,,
Ornithocercus magnificus,2008-09-29,,,
Heterodinium dispar,2008-09-29,,,
Odontella turgida,2008-09-29,,,
Chaetoceros mitra,2008-09-29,,,
Asterolampra spp.,2008-09-29,,,
Discosphaera tubifer,2008-09-29,,,
Helicosphaera carteri,2008-09-29,,,
Diploneis weissflogii,2008-09-29,,,
Nitzschia fluminensis,2008-09-29,,,
Phalacroma elongatum,2008-09-29,,,
Phalacroma hindmarchii,2008-09-29,,,
Protoperidinium mite,2008-09-29,,,
Ceratium tripos var. atlanticum,2008-09-29,,,
Heterodinium spp.,2008-09-29,,,
Grammatophora oceanica,2008-09-29,,,
Tripos praelongus,2008-09-29,,,
Heterodinium rigdenae,2008-09-29,,,
Oxytoxum elegans,2008-09-29,,,
Dinophysis pulchella,2008-09-29,,,
Phalacroma doryphorum,2008-09-29,,,
Ornithocercus splendidus,2008-09-29,,,
Histioneis megalocopa,2008-09-29,,,
Diplopsalopsis orbicularis,2008-09-29,,,
Tripos teres,2012-08-07,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos longirostrus,2008-09-29,,,
Tripos arietinus f. gracilentus,2008-09-29,,,
Actinoptychus splendens,2008-09-29,,,
Isthmia nervosa,2008-09-29,,,
Tripos schoeteri,2008-09-29,,,
Triposolenia bicornis,2008-09-29,,,
Dinophysis arctica,2008-09-29,,,
Dinophysis tuberculata,2008-09-29,,,
Histioneis carinata,2008-09-29,,,
Protoperidinium excentricum,2008-09-29,,,
Protoperidinium curtipes,2008-09-29,,,
Protoperidinium conicoides,2008-09-29,,,
Protoperidinium oblongum,2008-09-29,,,
Tripos pulchellus,2008-09-29,,,
Detonula confervacea,2008-09-29,,,
Chaetoceros lauderi,2008-09-29,,,
Scrippsiella trochoidea,2008-09-29,,,
Calyptrolithophora gracillima,2008-09-29,,,
Oxytoxum variabile,2008-09-29,,,
Thalassiosira lineata,2008-09-29,,,
Protoperidinium punctulatum,2008-09-29,,,
Tripos inflatus,2008-09-29,,,
Biddulphia biddulphiana,2008-09-29,,,
Eucampia cornuta,2008-09-29,,,
Palmerina spp.,2008-09-29,,,
Meringosphaera mediterranea,2008-09-29,,,
Umbellosphaera irregularis,2008-09-29,,,
Blepharocysta splendor-maris,2008-09-29,,,
Palmerina hardmaniana,2008-09-29,,,
Cochlodinium virescens,2008-09-29,,,
Dinophysis nasuta,2008-09-29,,,
Phalacroma pulchrum,2008-09-29,,,
Ornithocercus carolinae,2008-09-29,,,
Protoperidinium pyriforme,2008-09-29,,,
Cerataulina dentata,2008-09-29,,,
Chamaesiphon spp.,2012-08-07,,Pru Bonham 2012-03-01,Not previously counted in NRS samples
Cladopyxis brachiolata,2008-09-29,,,
Corythodinium elegans/tesselatum,2008-09-29,,,
Dinophysis dens,2008-09-29,,,
Phaeodactylum spp.,2008-09-29,,,
Prorocentrum rhathymum,2008-09-29,,,
Guinardia delicatula/Dactyliosolen fragillissimus,2008-09-29,,,
Phacus spp.,2008-09-29,,,
Tripos cf. pentagonus,2012-08-07,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Pseliodinium spp.,2008-09-29,,,
Climacosphenia spp.,2008-09-29,,,
Guinardia flaccida,2008-09-29,,,
Corethron hystrix,2008-09-29,,,
Ethmodiscus spp.,2008-09-29,,,
Amphidinium spp.,2008-09-29,,,
Karlodinium spp.,2008-09-29,,,
Navicula cf. <20 µm length,2008-09-29,,,
Thalassionemataceae,2008-09-29,,,
Alexandrium cf. spp.,2008-09-29,,,
Tripos cf. macroceros,2008-09-29,,,
Heterocapsa triquetra,2008-09-29,,,
Ostreopsis spp.,2008-09-29,,,
Prorocentrum gracile,2008-09-29,,,
Rhizosolenia fallax group,2013-02-08,,,
Ebria tripartita,2008-09-29,,,
Actiniscus pentasterias,2008-09-29,,,
Ornithocercus cf. magnificus,2008-09-29,,,
Ornithocercus cf. thumii,2008-09-29,,,
Ptychodiscus spp.,2008-09-29,,,
Rhizosolenia imbricata group,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Thalassiosira cf. punctigera,2008-09-29,,,
Chattonella marina var. ovata,2008-09-29,,,
Emiliana/Gephyrocapsa,2008-09-29,,,
Pyrophacus steinii,2008-09-29,,,
Acanthodinium spp.,2008-09-29,,,
Acanthoica spp.,2008-09-29,,,
Achnanthes spp.,2008-09-29,,,
Alexandrium affine,2008-09-29,,,
Alexandrium pacificum,2008-09-29,,,
Alexandrium margalefii,2008-09-29,,,
Alexandrium minutum,2008-09-29,,,
Alexandrium australiense,2008-09-29,,,
Amphora bigibba,2008-09-29,,,
Amphora coffeaeformis,2008-09-29,,,
Amphora hyalina,2008-09-29,,,
Dictyocha crux,2012-08-07,,,Silicofalgellates not previously counted in NRS samples
Rhizosolenia imbricata (no Richelia),2008-09-29,,,
Ascampbelliella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Ormosella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Ephemera spp.,2008-09-29,,,
Amphora inflexa,2008-09-29,,,
Cylindrotheca spp.,2008-09-29,,,
Delphineis spp.,2008-09-29,,,
Detonula moseleyana,2008-09-29,,,
Dicrateria spp.,2008-09-29,,,
Dinophysis antarctica,2008-09-29,,,
Dinophysis biceps,2008-09-29,,,
Dinophysis carpentariae,2008-09-29,,,
Dinophysis circumsuta,2008-09-29,,,
Dinophysis contracta,2008-09-29,,,
Dinophysis exigua,2008-09-29,,,
Dinophysis expulsa,2008-09-29,,,
Dinophysis fava,2008-09-29,,,
Dinophysis jourdanii,2008-09-29,,,
Dinophysis micheneri,2008-09-29,,,
Dinophysis micropterygia,2008-09-29,,,
Dinophysis monacantha,2008-09-29,,,
Dinophysis moresbyensis,2008-09-29,,,
Dinophysis mucronata,2008-09-29,,,
Dinophysis norvegica,2008-09-29,,,
Dinophysis operculoides,2008-09-29,,,
Dinophysis pacifica,2008-09-29,,,
Dinophysis parva,2008-09-29,,,
Dinophysis parvula,2008-09-29,,,
Dinophysis punctata,2008-09-29,,,
Dinophysis recurva,2008-09-29,,,
Dinophysis rudgei,2008-09-29,,,
Dinophysis tenuivelata,2008-09-29,,,
Diploneis constricta,2008-09-29,,,
Dunaliella spp.,2008-09-29,,,
Fallacia oculiformis,2008-09-29,,,
Fragilaria constricta,2008-09-29,,,
Fragilaria crotonensis,2008-09-29,,,
Fragilaria hyalina,2008-09-29,,,
Fragilariopsis oceanica,2008-09-29,,,
Fragilaria striatula,2008-09-29,,,
Fragilariopsis antarctica,2008-09-29,,,
Fragilariopsis cylindrus,2008-09-29,,,
Fragilariopsis obliquecostata,2008-09-29,,,
Fragilariopsis pseudonana,2008-09-29,,,
Fragilariopsis rhombica,2008-09-29,,,
Fragilariopsis ritscheri,2008-09-29,,,
Fragilariopsis separanda,2008-09-29,,,
Fragilidium spp.,2008-09-29,,,
Glenodinium spp.,2008-09-29,,,
