SAMPLE,DEPTH_M,SST,CHLA
143-60,-3367.2293,6.9477715,(null)
143-6,0.1121,(null),(null)
140-5,-4310.216056,3.1749244,(null)
265-53,-4794.111875,17.2452713,0.209718555
51-22,-81.825625,22.6875628,(null)
19-33,-2505.7541,22.49,0.145717338
265-65,-3142.0325,17.4378407,0.244907051
108-10,-574.563125,20.3141601,(null)
108-58,-199.11875,16.6011741,(null)
2-25,-2897.370944,17.94,0.382952511
6-73,0.1121,13.16,0.533584177
5-25,-954.7282563,20.92,0.385681629
69-49,-878.5962313,15.39,1.144223332
12-73,-827.9634063,22.48,0.136679992
86-44,0.1121,9.78,0.150666714
86-81,-3798.199288,6.9,0.16612795
88-20,0.1121,2.97,0.153427452
89-47,0.1121,5.93,0.151852757
89-50,0.1121,5.59,0.135533899
90-23,0.1121,4.3,0.113317758
91-44,-3090.957875,2.68,0.224705666
93-39,-3535.662544,8.85,0.225447237
108-85,-44.91559375,12.37,0.553628922
145-31,0.1121,1.16,0.585522175
146-40,0.1121,3.43,0.088026479
146-53,-4155.350475,3.74,0.129520297
135-33,-1862.900325,22.56,0.164942965
136-1,-967.3856313,17.69,0.497544706
144-43,-3675.5179,4.12,0.114889167
144-64,0.1121,3.58,0.1128553
144-69,0.1121,3.32,0.107241094
156-1,-3745.341975,5.32,0.119060427
157-37,0.1121,2.81,0.130671099
159-10,0.1121,0.96,(null)
160-77,-4364.724544,4.47,(null)
161-20,0.1121,5.55,(null)
193-17,-4666.606606,15.83,0.256488532
166-41,0.1121,3.14,0.172968641
162-29,0.1121,7.77,0.189442486
189-73,-4733.6685,15.25,0.206441388
207-21,-2401.219375,10.1,0.267843425
208-28,0.1121,10.67,(null)
209-74,0.1121,0.34,0.246646062
215-52,-4342.500425,9.49,(null)
219-44,-4273.401969,3.39,0.159042209
242-1,-23.633125,25.97,0.439059764
328-25,-25.2224359,23.13,0.146716714
404-9,-5409.300625,17.2209657,0.32196188
404-61,-3603.196875,18.178674,0.414261043
298-49,-128.99875,16.72,0.561115205
321-27,-4651.943725,11.68,0.255973637
245-45,-1568.76375,18.53,0.12000604
269-1,-65.593125,18.75,0.192413211
296-13,-283.91125,26.12,0.124358162
100-61,-1172.619131,19.788674,(null)
299-21,-82.555,16.12,0.340795815
141-14,-4190.354494,5.5700632,(null)
141-25,-4183.84505,5.815966,(null)
392-65,-2722.321875,20.3117296,0.401588827
362-61,-72.06125,22.4227712,0.15187031
147-80,-4010.674406,10.12,0.190668538
158-23,-4565.285731,2.29,0.204244286
160-4,0.1121,2.85,0.173269913
160-13,0.1121,2.64,(null)
161-3,0.1121,5.23,0.116861068
163-93,0.1121,9.29,0.144102827
66-5,-705.6053375,22,0.213376969
52-17,0.1121,14.42,0.351416022
94-45,0.1121,14.3,0.569473207
86-36,0.1121,10.12,0.080488235
88-9,-4634.452294,3.54,0.13749972
90-7,0.1121,5.37,0.24238731
91-3,0.1121,1.96,0.136807367
92-1,-3205.309006,3.44,0.305134386
64-13,-379.936375,25.78,0.203958035
114-17,-4811.667887,20.58,0.112294011
114-33,-5204.586631,19.32,0.125694349
190-49,-1204.513244,18.67,0.327333182
349-17,-75.45625,12.62,0.313666523
362-29,-277.9225,23.5112434,0.105037242
240-41,-43.550625,26.98,0.381770968
300-65,-2801.41875,16.83,0.198271751
302-57,-79.465625,20.91,0.409397095
316-36,0.1121,10.631054,0.207091257
339-49,-52.918125,24.6350628,0.540563881
142-7,-3922.972606,7.469091,(null)
149-23,-3349.93835,8.2605493,(null)
164-41,0.1121,3.92,0.180354446
164-65,-4187.402831,3.1,(null)
189-129,-1593.211344,17.68,0.249371096
207-40,0.1121,10.21,(null)
208-23,-4042.56155,10.34,0.200396493
207-18,0.1121,10.69,0.214660123
182-41,-4635.209581,19.68,0.119671829
216-1,-3716.640638,9.24,0.201943353
216-24,0.1121,7.08,0.164406791
213-81,-58.19625,14.73,0.239159852
215-10,0.1121,11.73,0.380454391
220-25,-4469.524238,1.25,0.148630619
143-4,0.1121,(null),(null)
148-29,-2330.790975,13.0237436,(null)
141-81,-4385.376788,7.0602715,(null)
51-26,-76.01,22.5742295,(null)
67-8,0.1121,14.01,0.532123327
12-45,-1633.161813,22.15,0.171394676
398-57,-59.78,24.7827017,0.288858742
6-57,-1466.598425,15.43,0.360700607
67-13,0.1121,13.9,0.284102201
19-73,-56.9647125,17.98,1.544927597
192-29,-4829.569225,14.84,0.263626426
86-80,-3767.065438,6.9,0.169709563
87-20,0.1121,6.33,0.272765517
93-19,0.1121,9.3,0.145286903
113-25,-3232.0719,21.85,0.105978362
120-25,-4546.9966,16.55,0.206190825
145-28,0.1121,1.75,0.471643806
145-38,0.1121,0.71,0.161057219
146-8,0.1121,1.86,0.107615106
147-10,0.1121,4.6,0.10413111
135-17,-828.22645,23.73,0.098567255
145-1,0.1121,2.35,0.121097192
156-12,0.1121,4.43,0.150004297
164-75,0.1121,2.49,(null)
162-78,0.1121,9.45,0.205408052
162-82,0.1121,10.27,0.23514843
176-77,0.1121,24.71,0.342054993
209-49,0.1121,2.18,0.134948716
215-71,0.1121,9.24,0.212781087
215-73,0.1121,9.07,0.251672685
206-1,-75.913125,21.33,0.389727145
220-22,-4469.799569,1.01,0.171968773
219-70,-4296.657744,1.89,0.14185892
221-2,0.1121,14,0.494686991
392-49,-4225.558125,20.0985351,0.257352561
270-57,-4544.2425,19.2,0.116994254
392-77,-2342.58375,21.6622156,0.312591106
398-73,-22.39196875,29.0738821,0.161094382
346-53,-3147.555,20.23,0.389535695
316-62,-4302.135694,11.2672853,0.143053651
354-17,-58.434375,24.1967989,0.311265051
392-25,-3350.694375,18.2194379,0.309250265
297-85,-115.278125,23.64,0.299621433
364-49,-127.36125,16.9,0.691388607
139-91,0.1121,(null),(null)
139-8,0.1121,(null),(null)
139-83,0.1121,(null),(null)
140-75,-4383.2152,5.5821466,(null)
381-61,-4499.91625,10.7138825,0.33995685
141-28,-4165.492975,5.8412438,(null)
158-37,0.1121,1.31,0.174364626
77-21,-2727.296688,21.86,0.159724519
66-10,-113.589375,23.2157573,(null)
87-73,0.1121,4.7,0.161217704
89-9,0.1121,7.24,0.120681889
89-34,0.1121,6.88,0.087766998
90-24,0.1121,4.14,0.316503614
185-1,-1980.09705,20.32,0.168486029
64-17,0.1121,26.45,0.204969645
190-21,-2799.882994,17.66,0.253681839
311-17,-48.729375,23.8753406,0.936705232
316-19,0.1121,9.2283124,0.13484098
184-5,-3234.374644,18.88,0.135795966
164-47,0.1121,3.67,0.217434928
189-49,0.1121,16,0.205655873
189-93,-4655.295456,15.4,0.268193513
207-10,0.1121,12.49,(null)
207-11,0.1121,12.49,0.265123904
215-22,0.1121,9.94,0.358953685
149-1,0.1121,(null),(null)
67-19,0.1121,14.1,0.194791451
67-57,-151.632725,14.57,0.279942393
45-61,-42.5285875,15.4,0.52926445
52-1,-1956.584631,13.62,0.221197292
94-47,-4239.6861,14.58,0.612420022
92-6,-3259.5952,3.93,0.109638102
93-25,-4234.503613,8.6,0.180993468
147-45,0.1121,6.9,0.140053689
144-30,-3471.113669,4.36,0.122076549
158-6,0.1121,2.35,0.170693815
163-27,0.1121,10.46,0.329545408
165-74,-4199.075313,10.49,0.3572312
167-22,-2296.593694,11.93,0.167004719
169-45,-4000.956081,16.26,0.330304176
170-1,-5057.307425,16.69,0.166968048
187-13,-955.722525,13.12,0.224020317
165-3,-2544.505169,13.83,0.517003477
162-49,-3569.313594,9.34,0.168136761
207-27,0.1121,9.26,(null)
181-9,-3644.252488,20,0.127398923
209-50,0.1121,2.04,0.162048236
215-44,-4535.420288,9.89,0.223852158
206-41,-893.445,18.95,0.289223343
211-45,-112.21625,15.67,2.046972752
212-17,-68.275,15.2736741,0.476401836
212-33,-129.513125,15.8422852,0.323600888
220-12,-4452.243025,1.36,0.14506565
219-42,-4302.332763,3.51,0.147224426
219-54,-4207.639375,3.4,(null)
373-113,-5523.1575,14.9531186,0.135120302
308-1,-5241.315,15.4,0.277472675
323-73,-52.469375,17.93,0.180522233
328-33,-130.82875,22.15,0.192330629
381-33,-4914.503125,13.0499242,0.426478982
398-21,-57.306875,24.2640211,0.706687748
343-57,-1714.346875,19.68,0.250857979
344-81,-60.981875,12.31,0.514281929
304-5,-172.846875,21.84,0.304720074
354-53,-63.32625,24.8470072,0.280940175
321-23,-4712.911006,11.53,(null)
321-78,-3951.992781,8.77,0.175251216
321-81,-3945.54125,9.2,0.19552739
239-13,-50.683125,28.26,0.368941367
315-51,0.1121,13.36,0.342910141
316-41,-4133.394512,10.91,0.259613186
330-77,-27.46,20.38,0.665641844
324-1,-30.16125,20.01,0.446727335
254-9,-126.9675,21.1531879,0.316268325
139-17,0.1121,(null),(null)
139-37,-4406.044481,2.6578411,(null)
150-15,-4035.670988,4.2450632,(null)
143-35,0.1121,(null),(null)
140-31,-3926.079556,3.4889522,(null)
141-19,0.1121,(null),(null)
141-22,0.1121,(null),(null)
141-8,-4263.646688,5.5821466,(null)
139-4,0.1121,(null),(null)
139-29,0.1121,(null),(null)
146-58,0.1121,4.1,0.160743386
147-33,-2873.252631,5.61,0.11406143
147-41,-3074.046306,6.22,0.146148294
157-55,0.1121,2.66,0.14360109
158-5,0.1121,2.45,(null)
161-12,-4326.36695,5.34,(null)
161-30,0.1121,5.63,(null)
164-5,-4290.500606,6.09,0.184115946
43-38,-194.613125,22.248674,(null)
8-42,-505.429375,18.836799,(null)
8-77,-51.625225,13.48,0.386032999
52-57,-4545.159894,15.27,0.444631368
87-82,0.1121,4.18,0.168350101
89-28,0.1121,6.7,0.084030159
82-13,-458.2452188,28.12,0.241958648
187-33,0.1121,13.74,0.383473158
190-5,-2274.0789,16.04,0.271088272
307-41,-1735.410625,15.44,0.288154006
245-93,-5059.41125,18.57,0.092691541
301-5,-1759.035625,25.22,0.085406549
348-1,-3392.076875,17.73,0.388994843
142-77,-3670.100898,10.6118687,(null)
142-31,0.1121,(null),(null)
142-41,0.1121,(null),(null)
170-37,-5477.265863,17.68,0.165460452
164-64,-4173.836513,3.12,0.116386414
165-46,-4708.756456,10.56,0.276251644
186-17,0.1121,22.1,0.147088528
216-23,0.1121,7.19,0.173300549
216-85,-4319.583406,5.3,0.182893366
143-22,0.1121,(null),(null)
140-22,0.1121,(null),(null)
150-69,0.1121,1.9974244,(null)
1-49,-807.8651063,19.88,0.518263698
19-57,-1497.439763,20.3,0.169465154
221-18,0.1121,15.09,0.471656531
15-73,-60.5051875,19.26,0.189253181
52-81,-4659.18905,13.88,0.314978957
13-57,-1468.805294,17.73,0.369733691
67-10,0.1121,14.01,0.46540916
67-21,-276.9898063,14.08,0.194916725
12-34,-89.58875,22.3691601,(null)
19-66,-100.476875,15.9535352,(null)
187-41,0.1121,13.73,0.470306963
81-77,-22.87131875,19,1.282323003
86-57,0.1121,9.56,0.126387969
86-77,-3670.003825,7.05,0.329092056
87-22,0.1121,6.3,0.198549137
92-3,-3207.072138,3.49,0.27002725
92-12,-3321.004756,4.48,0.107368484
98-5,-729.5422,23.72,0.359293967
147-49,0.1121,7.07,0.109061897
159-17,0.1121,1.33,(null)
159-27,0.1121,1.59,0.298352093
159-62,0.1121,1.91,0.069682673
159-73,0.1121,2.01,0.174381241
163-47,0.1121,9.47,0.234333277
163-55,0.1121,9.77,0.179698855
166-6,0.1121,2.84,0.131999686
169-41,-3544.354319,15.69,0.505529463
