SAMPLE,DEPTH_M,SST,CHLA
365-5,-72.90125,15.12,0.282659501
244-53,-54.968125,19.86,0.453646541
349-33,-251.505,13.29,0.218446746
309-9,-85.504375,20.86,0.951427519
321-39,-4600.724731,10.15,0.236640394
321-58,0.1121,9.83,0.250509143
245-9,-33.2875,20.21,0.279132396
298-85,-76.34375,15.47,(null)
316-29,-3237.292073,10.11,0.192786366
316-85,-4811.476875,12.88,0.253594011
359-17,-4757.481875,12.84,0.338128179
359-37,-4435.133125,11.29,0.423962504
148-22,0.1121,(null),(null)
148-7,-1395.924588,16.2359658,(null)
150-23,-4086.889613,3.895341,(null)
149-80,-3426.771725,4.5890216,(null)
149-74,0.1121,(null),(null)
140-76,-4381.357813,5.6024243,(null)
221-64,0.1121,12.26,0.163683727
147-48,0.1121,6.98,0.125331819
145-14,0.1121,1.78,0.15200232
155-35,-3504.925606,5.4,0.130856141
155-36,0.1121,5.37,0.135472417
159-39,0.1121,1.61,0.426497519
165-53,-4524.197238,10.53,0.273088813
51-13,-467.5221063,23.32,0.313330591
77-45,-1155.863556,19.72,0.508530498
53-21,-4792.422613,13.27,0.234433904
94-39,-4048.736269,13.48,0.320590883
89-19,0.1121,7.31,0.098798521
91-9,0.1121,1.98,0.155072078
114-21,-5026.719025,20.14,0.114120424
129-1,-4843.603856,14.96,0.348819643
129-21,-4718.311775,15.89,0.541778743
358-1,-75.520625,21.0902712,0.502570271
307-61,-1736.41,15.9,0.192288652
311-21,-36.20375,24.1030489,0.437917471
300-9,-34.9725,16.57,0.761012614
300-13,-61.753125,16.65,0.367333949
300-45,-1534.525,17.44,0.184318855
269-41,-89.79,17.05,0.253416747
142-32,0.1121,(null),(null)
149-85,-3546.995706,4.3520077,(null)
178-9,-77.2475,17.34,0.360124022
178-49,-79.436875,17.73,0.546615183
207-65,0.1121,9.4,(null)
209-83,0.1121,0.64,0.106154948
216-56,0.1121,6.52,0.170718133
216-68,-3462.758013,6.9,0.141438797
215-18,-4770.998463,9.97,0.295975327
220-9,-4454.208925,1.59,(null)
344-61,-94.559375,15.33,0.390397102
404-1,-5390.918125,17.2877018,0.2470029
149-70,-3164.696231,4.7935355,(null)
398-65,-48.584375,24.5790906,0.303853333
139-16,0.1121,2.6493688,(null)
8-13,-1553.666406,19.85,0.364493579
51-18,-97.3775,22.9964517,(null)
12-17,-522.8429813,25.22,0.336499155
82-22,-81.259375,22.7625628,(null)
209-62,0.1121,1.44,0.220918447
209-88,0.1121,0.18,0.139377266
221-49,0.1121,13.08,0.211591467
4-29,-2838.656006,15.33,0.465884656
1-18,-999.4987438,20.51,0.178594679
43-41,-1535.95485,23.5,0.226433679
13-77,0.1121,16.58,0.24349007
67-7,0.1121,14.18,0.629455566
52-21,-4667.089775,14.15,0.315673441
82-41,-1324.629019,27.48,0.167710662
93-23,-4173.273181,9.02,0.168278664
147-51,0.1121,7.31,0.125915796
147-68,0.1121,8.55,0.115217149
144-2,-2895.299394,5.63,0.115890145
144-42,-3659.47405,4.12,0.10665442
144-50,-3826.771225,3.83,0.116335616
145-6,0.1121,2.07,0.338981181
160-52,-4284.993344,3.67,0.169873402
163-18,0.1121,11.32,0.248174742
178-53,-48.63875,17.55,0.755342066
164-39,0.1121,4.42,0.18281275
164-60,0.1121,2.98,(null)
162-3,-4271.258306,6.67,0.152802452
162-63,-3609.0226,9.67,0.151998103
162-66,0.1121,9.08,0.204863414
219-43,-4289.0133,3.41,(null)
219-67,-4240.234906,2.11,0.165717617
219-80,-4393.091813,2.76,0.179726258
221-60,0.1121,12.31,0.289849281
367-17,-4854.83625,16.74,0.096099406
367-85,-135.9625,19.12,0.133949861
323-45,-248.351875,16.74,0.182840645
323-77,-1.65811875,18.35,0.473783016
373-73,-5394.36875,15.3178408,0.146388456
400-9,-2027.10375,22.1341601,0.43183738
403-33,-5569.4125,15.7449935,0.266045392
240-25,-315.2525,26.28,0.332185179
321-24,-4702.901838,11.52,(null)
321-65,-3880.674375,9.22,0.218268424
245-37,-387.076875,18.99,0.125842646
315-4,-4298.234494,11.55,0.295876384
316-24,0.1121,9.4895524,0.131956428
305-33,-146.1675,16.76,1.294140577
336-41,-3140.35375,12.7102714,(null)
322-57,-717.835,16.9,0.61326766
330-29,-133.828125,17.99,0.154446676
269-53,-83.2975,16.76,0.826980531
139-55,-4292.712875,2.2744383,(null)
139-89,0.1121,(null),(null)
139-67,0.1121,(null),(null)
139-31,0.1121,(null),(null)
148-13,-2719.979463,16.2518685,(null)
148-28,-2439.798069,13.2199242,(null)
148-72,0.1121,(null),(null)
150-12,0.1121,(null),(null)
159-85,0.1121,2.3847065,(null)
141-44,0.1121,(null),(null)
304-77,-126.88125,18.69,0.370481849
147-4,0.1121,4.55,0.110439017
147-25,-2891.413488,5.21,0.128278017
157-10,-4383.253594,4.05,0.147033378
158-41,0.1121,1.37,0.207985863
158-62,0.1121,0.73,0.295933127
165-68,-4276.778319,10.61,0.288867176
53-25,-4793.331331,13.04,0.229256809
88-15,-4635.068931,3.38,0.149297163
89-15,0.1121,7.4,0.116186447
82-34,-90.46125,22.3691601,(null)
240-21,-36.823125,26.07,0.801944017
265-13,-5150.7725,15.1061047,0.333193213
245-53,-1490.705625,18.96,0.129624903
311-1,-33.655625,22.9870073,0.362252891
348-33,-976.41375,17.26,0.314672142
142-59,0.1121,(null),(null)
142-5,-4010.717438,7.5314521,(null)
142-21,0.1121,(null),(null)
164-48,0.1121,3.73,0.171924993
208-19,0.1121,9.91,(null)
207-22,0.1121,10.44,0.293728232
216-21,-3532.87665,7.45,0.176383317
219-18,-4384.315013,2.66,(null)
344-73,-57.818125,12.73,0.371843457
139-96,0.1121,(null),(null)
139-60,0.1121,(null),(null)
142-8,0.1121,(null),(null)
166-66,0.1121,3.11,0.119502813
221-14,0.1121,15.13,0.34137854
77-22,-4013.280625,20.1824934,(null)
53-41,0.1121,12.9,0.222743586
45-50,-56.129375,15.5195074,(null)
8-17,-1977.48015,19.38,0.607364476
12-25,-916.5128938,24.7,0.403950423
86-64,0.1121,8.61,0.150775373
86-68,-3450.533806,7.33,0.264602154
88-2,0.1121,3.39,0.15514186
89-11,0.1121,7.4,0.116386078
90-1,0.1121,5.54,0.186633989
91-6,0.1121,2.04,0.124602474
93-4,0.1121,8.88,0.126728043
93-42,-3393.075138,8.82,0.162748337
190-9,-2554.829425,16.61,0.271394461
144-53,-3916.442631,4,0.121603943
144-68,0.1121,3.47,0.108917177
155-19,0.1121,6.19,0.257236242
161-61,-4404.242013,6.78,(null)
193-33,-3567.926813,15.53,0.364413053
155-18,0.1121,6.19,0.226299047
164-3,0.1121,6.11,0.177052885
165-51,-4581.332063,10.49,0.27517277
166-20,0.1121,2.97,0.13195996
183-9,-2456.394006,19.78,0.14527005
165-21,-2674.142856,11.75,0.347356617
165-26,-2507.299656,11.36,0.455419868
162-64,-3611.545088,9.53,0.157624498
186-25,0.1121,22.37,0.204716146
209-51,0.1121,1.99,0.173440024
216-20,0.1121,7.49,0.16922918
220-8,-4453.48295,1.52,(null)
219-64,-4214.248213,1.92,0.151743472
304-41,-110.486875,20.02,0.380562454
366-33,-2434.859375,16.11,0.106911503
366-69,-5114.075,17.15,0.121547148
328-5,-99.109375,23.72,0.197881624
328-53,-91.44,22.18,0.334636807
299-49,-161.355625,16.78,0.342917114
401-33,-66.295625,15.6093686,0.384371847
402-13,-1556.451875,16.0436741,0.356063098
271-17,-72.621875,25.12,0.177875206
350-49,-142.510625,18.32,0.250654608
321-12,0.1121,11.78,0.366220027
309-53,-70.511875,23.88,0.426464558
311-29,-741.091875,24.4130489,0.115668871
315-54,-2818.739606,14.05,0.319257349
302-53,-88.920625,21.5,0.426808149
306-65,-53.38902439,14.44,0.295443624
139-74,0.1121,(null),(null)
150-79,0.1121,1.3933966,(null)
140-46,-3915.769394,3.9835355,(null)
139-3,0.1121,2.7801327,(null)
139-21,0.1121,(null),(null)
270-89,-5254.67375,18.79,0.103478424
146-52,-4164.431513,3.66,0.092511266
135-9,-635.7848625,24.03,0.150350809
158-18,0.1121,1.97,0.152107164
158-52,0.1121,0.5,0.287770957
160-89,0.1121,5.29,0.123333201
161-65,-4399.1367,6.54,0.128114879
164-30,-4347.120656,5.06,(null)
167-9,0.1121,11.23,0.167690113
15-5,-751.6726625,22.8,0.14317286
75-1,-1918.891944,14.51,0.717856109
87-70,-4674.61905,4.57,0.169061065
89-43,0.1121,6.47,0.162334651
89-52,0.1121,5.69,0.144870088
91-34,0.1121,2.14,(null)
190-25,-2521.725644,17.93,0.270642847
119-1,-5483.334294,16.58,0.253189325
146-16,0.1121,2.2,0.163158908
364-25,-2317.98375,19.9,0.369510829
239-21,-47.02875,28.3,0.335551322
360-5,-3319.158125,14.27,0.268599123
142-74,-3614.826731,10.4227714,(null)
142-4,-4074.326025,7.487216,(null)
144-88,0.1121,2.6509661,(null)
149-16,0.1121,(null),(null)
184-25,-1468.710806,19.98,0.215096176
163-7,0.1121,11.47,0.212991923
216-25,0.1121,7.24,0.1775233
211-24,0.1121,16.54,1.223615527
219-14,-4401.558581,4.26,0.183688954
149-72,0.1121,(null),(null)
155-44,0.1121,5.363838,(null)
143-46,-3700.9176,8.8822159,(null)
141-58,0.1121,(null),(null)
15-38,-1959.515625,19.3272851,(null)
98-30,-95.21,22.4256184,(null)
124-17,0.1121,17.79,0.264271528
19-74,-63.254375,15.5630491,(null)
100-14,-995.508125,20.1699934,(null)
100-38,-1934.583125,19.1899935,(null)
100-6,-229.693125,21.1149934,(null)
100-86,-67.599375,15.8199935,(null)
108-22,-3806.943125,20.9299934,(null)
108-6,-290.053125,20.9799934,(null)
112-17,-75.074375,15.3899936,0.557702303
112-45,-87.165625,16.2799935,0.321991444
12-58,-267.610625,22.2699934,(null)
135-22,-119.741875,22.2499934,(null)
136-10,-228.615625,18.1924935,(null)
136-34,-58.47125,15.4399936,(null)
14-22,-134.920625,22.6099934,(null)
14-58,-263.53875,22.2699934,(null)
14-62,-190.23,22.6699934,(null)
14-74,-123.085,22.1099934,(null)
15-34,-3149.6075,19.4449935,(null)
15-42,-514.98375,18.8899935,(null)
15-54,-479.755,17.8199935,(null)
15-74,-67.14625,15.7399935,(null)
15-78,-58.3825,15.4399936,(null)
19-54,-1115.264375,16.8899935,(null)
28-2,-129.533125,22.2399934,(null)
2-74,-66.75375,15.8149935,(null)
2-98,-74.14375,15.3599936,(null)
389-13,-3225.9725,13.1349936,0.435693681
389-45,-4480.48625,11.8899936,0.193736494
389-5,-2732.338125,13.4749936,0.576208174
412-37,-131.17625,22.2399934,0.091843516
412-73,-128.445,22.0499934,0.273603857
412-89,-142.2225,21.0999934,0.285516083
43-54,-262.65,22.2699934,(null)
4-30,-3815.43125,19.8299935,(null)
4-6,-257.340625,21.1149934,(null)
51-38,-112.829375,22.2499934,(null)
51-46,-1139.234375,22.0699934,(null)
5-30,-91.533125,22.1799934,(null)
66-18,-94.060625,22.8949934,(null)
66-22,-87.371875,22.6749934,(null)
66-46,-1229.04375,22.1549934,(null)
66-54,-498.09875,22.2299934,(null)
69-26,-3771.405625,20.6349934,(null)
69-50,-148.48375,18.6799935,(null)
6-54,-612.485,17.5699935,(null)
6-74,-66.923125,15.6399936,(null)
77-34,-2960.055,19.1949935,(null)
77-54,-1188.079375,16.8899935,(null)
77-82,-59.3675,15.6799935,(null)
7-10,-168.926875,23.9199934,(null)
82-2,-56.945625,22.5399934,(null)
82-30,-96.343125,22.1599934,(null)
82-90,-151.26,21.1199934,(null)
83-42,-440.77875,18.6849935,(null)
83-50,-139.735,18.5699935,(null)
98-2,-59.155,22.5399934,(null)
150-34,0.1121,(null),(null)
150-44,0.1121,(null),(null)
150-64,0.1121,(null),(null)
150-67,0.1121,(null),(null)
1-3,0.1121,(null),(null)
1-40,0.1121,(null),(null)
1-44,0.1121,(null),(null)
249-65,0.1121,14.8322132,(null)
249-73,0.1121,15.158,0.295449823
2-16,0.1121,(null),(null)
2-24,0.1121,(null),(null)
2-47,0.1121,(null),(null)
2-71,0.1121,(null),(null)
2-87,0.1121,(null),(null)
2-95,0.1121,(null),(null)
390-1,0.1121,11.4255624,0.599278986
390-37,0.1121,13.2405217,0.36068967
390-9,0.1121,11.7606478,0.379413933
413-45,-130,20.8345837,0.301592976
413-57,-706.7033372,20.3064377,0.258172512
413-69,-63,19.3849575,0.508877814
413-89,-76,19.359465,0.295025021
414-25,-168.6399854,18.4329701,0.252144128
414-33,-1286.694801,18.2134543,0.203673363
414-37,-1837.656007,18.2323544,0.211017162
414-53,-4132.886083,18.148376,0.16932869
414-81,-5470.335404,18.0567413,0.161322445
414-85,-5502.150813,18.0843709,0.169825628
415-5,-5386.084107,18.0193603,0.166100979
415-89,-5492.111891,18.8790209,0.130686596
417-21,-4567.359347,25.7521897,0.086026512
418-33,-185.5365767,23.5681633,0.180643678
5-11,0.1121,(null),(null)
5-3,0.1121,(null),(null)
6-36,0.1121,(null),(null)
6-39,0.1121,(null),(null)
6-52,0.1121,(null),(null)
422-33,-2952.109278,10.7607636,0.14303264
438-9,-29.9134,27.2930606,0.472820491
422-25,-2579.753328,11.7402106,0.461051762
427-5,-218.8500068,16.9466954,0.301977962
422-37,-4131.689269,10.6022837,0.241470173
438-69,-43.35648032,27.6785689,0.386858672
428-45,-5391.795088,14.8498856,0.206892401
428-57,-5527.189057,14.4402674,0.210466221
422-41,-4457.914244,10.6612022,0.3206276
426-45,-319.7927402,20.8627771,0.278554708
438-49,-55.89128,27.2875112,0.393362463
422-13,-2173.937136,12.9638014,0.278428286
426-29,-251.1129547,21.2735696,0.306943953
432-45,-58.16170829,12.9243239,0.558699131
445-41,-4740.291752,14.13301115,0.403963119
391-9,-4521.63445,12.814405,0.206155017
422-69,-4279.371688,9.884411936,0.217440337
423-25,-4798.320359,12.85544191,(null)
442-25,-4286.762872,21.18779737,(null)
87-10,0.1121,6.58,0.206258848
161-77,-4322.9724,6.5,0.136121929
219-77,-4363.816694,2.53,(null)
332-37,-140.49625,25.24,0.175594702
68-33,-2350.215988,13.25,0.445999414
144-65,0.1121,3.51,0.10604772
147-56,0.1121,7.74,0.125034973
215-31,0.1121,10.09,0.267313719
120-33,-3695.575619,15.95,0.2867181
453-13,-3982.475296,14.711706,0.416903108
453-17,-3718.40919,14.9358519,0.290536612
455-5,-4483.868275,12.3521579,0.35283488
91-12,0.1121,2.12,(null)
159-80,0.1121,2.04,0.247598484
162-70,-3618.390806,8.93,0.156421676
301-49,-316.600625,25.81,0.093683802
269-49,-160.450625,16.52,0.169078872
87-81,0.1121,4.22,0.167843297
163-40,0.1121,10.21,0.176735058
219-46,-4254.583213,3.24,0.156404585
302-73,-129.795,19.72,0.33413133
167-56,0.1121,14.27,0.900757134
61-5,-577.0092188,22.79,0.240837157
192-33,-4758.800713,14.81,0.261598349
158-78,0.1121,-0.12,0.28715694
424-17,-4733.517887,12.2933553,0.137779549
446-25,-112.1711691,26.3727705,0.216397181
446-41,-238.2879886,24.1954395,0.172032386
448-1,-104.6582199,23.182121,0.346238434
448-65,-69.86293398,19.718278,0.559496045
449-21,-5451.517752,18.343765,0.268822283
449-41,-5511.748878,18.5632105,0.158828363
449-57,-5565.107518,18.7414272,0.146929875
450-37,-2269.178568,26.0193866,0.156149969
450-53,-280.983921,25.0053004,0.477790326
451-57,-1371.248439,19.3543913,0.309528708
454-65,-4558.941942,9.863725,0.448634714
457-49,-160.5413673,19.40885304,0.259386092
465-1,-4507.133665,9.495404284,0.190075845
465-49,-1166.921483,12.44605444,0.16311267
452-45,-5488.831411,17.16379157,0.240147188
316-79,-4559.859217,12.70077131,0.242012978
456-41,-4855.330654,13.780065,0.540672302
316-88,-4587.357145,12.91317035,0.209969103
456-29,-4635.729416,14.57867064,0.630397081
316-72,-4509.187507,12.82670811,0.264416635
441-61,-149.541503,23.04639677,0.216137186
441-25,-103.6993467,23.69975238,0.092702419
160-27,0.1121,2.98,0.17718634
94-41,-4124.751113,13.95,0.46764192
452-5,-3318.110069,17.69080545,0.258459032
442-57,-125.1459882,17.7258899,0.360155851
442-37,-442.39403,19.87479774,0.521846414
449-1,-3546.742751,18.9753198,0.139795765
432-69,-47.34638653,12.3876141,0.456847936
428-49,-5484.176412,14.7064245,0.213509113
146-30,0.1121,3.01,0.112808414
350-21,-304.66375,17.68,0.250755638
360-45,-4494.58625,13.05,0.228610113
6-41,0.1121,15.61,0.630211949
87-3,0.1121,6.75,0.178239912
147-14,0.1121,4.8,0.12049637
144-52,0.1121,3.97,0.113693438
166-38,0.1121,3,0.196389034
206-25,-84.90875,20.42,0.931624472
307-45,-1512.023125,15.25,0.262960047
359-65,-4454.89875,9.63,0.182126552
159-53,0.1121,1.84,0.297209084
69-53,-1069.178381,15.88,0.79625535
366-77,-5083.066875,17.22,0.106489211
321-66,0.1121,9.21,0.199004024
302-5,-177.3929487,23.42,0.309905082
145-12,0.1121,2.03,0.140911445
161-71,0.1121,6.47,0.1218196
390-57,0.1121,16.1719244,0.438451499
438-21,-55.92721261,27.4291268,0.265008688
391-13,-4515.74973,12.49522708,0.239732236
442-61,-70.20373382,17.65494326,0.156089827
424-29,-4704.55226,11.9072457,0.13886264
443-73,-5456.122395,16.4893619,0.207508981
216-46,-3422.3844,7.27,(null)
162-52,-3582.388538,9.71,0.121681422
216-92,-4307.511375,6.11,(null)
221-20,0.1121,14.65,0.410890579
76-69,-55.247775,18.18,0.427165687
66-37,-912.3329563,20.76,3.426609516
91-18,0.1121,1.94,0.13070251
163-29,0.1121,10.25,0.254967123
164-70,0.1121,2.88,(null)
316-5,-3115.995625,8.24,(null)
192-73,0.1121,15.94,(null)
322-9,-129.88625,20.67,0.163319096
216-48,-3401.262638,7.19,0.156962425
346-17,-3921.59375,18.68,0.351563543
161-25,0.1121,5.43,0.140603468
414-29,-158.6661978,18.4861005,0.217924401
431-61,-427.8527325,20.4403154,0.603069544
426-57,-192.3503127,20.7996311,0.362286448
445-5,-142.0925613,16.65901674,0.671292245
423-21,-4781.46081,12.19361073,(null)
423-29,-2562.789152,13.78860224,(null)
441-13,-138.9167294,23.95039927,0.112922996
424-21,-4841.118844,12.0188336,0.099972315
158-40,0.1121,1.43,0.147073761
216-6,0.1121,9.26,0.148275256
213-97,-74.195625,15.13,0.226863265
316-89,-4528.68125,12.96,0.182218105
221-36,0.1121,12.98,0.20630531
189-81,0.1121,16.47,0.197375283
146-15,0.1121,2.25,0.249345779
216-28,0.1121,7.61,0.185654253
321-44,0.1121,10.25,0.236875221
364-57,-649.104375,18.58,0.58915329
157-22,-4615.920525,3.49,0.130265802
86-61,0.1121,8.81,0.136884466
88-26,0.1121,2.8,0.152084872
93-22,-4148.749656,9.16,0.137563661
470-42,-454.629102,23.62466011,0.197382614
473-42,-4568.053909,3.232471532,(null)
471-45,-3178.299785,8.760029035,(null)
513-49,-2282.975425,25.56741199,0.162404865
516-49,-1541.376047,21.95212559,0.262677014
513-53,-861.0980116,25.26463681,0.155357495
469-53,-61.3906223,15.6862419,0.246712983
472-54,-4512.265267,4.930501514,0.131586567
470-56,-254.3086073,23.26937125,0.148436919
471-56,-3118.519114,8.206504417,0.223093897
473-59,-4594.412664,2.269840662,(null)
473-60,-4598.37664,2.247230046,(null)
391-24,-4529.836105,12.0099876,0.321845502
266-57,-4786.313216,16.33904699,0.225238919
418-38,-234.8820307,22.89154206,0.219871253
472-63,-4466.727113,4.347363374,0.178127825
471-64,-3232.647352,7.503943772,0.236721992
481-65,-73.33369353,19.15166789,0.35794875
458-5,-125.0658824,18.5558544,0.384826243
472-66,-4455.103493,4.223785456,0.201857656
471-70,-3364.939226,6.921935502,(null)
470-72,-490.3556248,23.02817749,0.200040609
516-73,-93.78844445,21.09847026,0.380872518
469-73,-49.93204997,16.7478916,0.199814081
472-75,-4629.963667,4.194134411,0.100932822
482-77,-5567.524381,18.81772855,0.145872191
473-78,-4516.69,1.131569164,0.38778162
471-78,-3542.353375,6.919952403,0.165694833
472-78,-4502.783094,4.05316466,0.117355064
458-77,-53.44663416,13.50896379,0.580189168
468-9,-948.6966023,19.76854916,0.257476389
519-9,-398.0738714,13.56807146,0.303512663
473-7,-4345.288397,4.124366182,0.138138294
471-7,-3450.442772,10.11797668,0.255285889
472-6,-3775.87648,7.405913411,0.232023686
471-6,-3453.918591,10.12114133,0.246976644
502-5,-5487.670714,28.10104732,0.190140694
467-5,-161.1453366,24.517418,0.11305473
505-5,-161.2851613,13.63309249,0.926846445
530-5,-4709.569334,19.68261227,0.246334627
481-5,-187.283811,24.61938664,0.198136225
472-5,-3737.292765,7.484367906,0.256721944
473-4,-4409.340756,4.111459936,0.091449946
531-1,-313.5159347,16.49454907,0.377983809
391-36,-4020.998387,11.67087948,0.292872936
480-1,-82.79880128,26.85039809,0.142094627
467-1,-196.04936,24.54575139,0.120498739
459-5,-234.3803766,15.47910717,0.403053015
482-101,-5476.163127,19.0608254,0.181427166
519-13,-665.4573678,13.54490016,0.407114863
391-38,-4050.212046,11.56148665,0.68901962
266-21,-1788.887127,17.95128491,0.194454104
467-13,-216.9012728,24.43037723,0.124831729
464-69,-48.39239344,23.37742295,0.172431752
516-13,-124.4907046,23.09723918,0.36428386
480-17,-194.4964084,26.92992733,0.123628967
418-35,-521.9426252,23.21867029,0.185486168
464-21,-27.50176817,24.60459258,0.285275221
489-13,-5078.913087,19.25721933,0.134161025
496-13,-5003.198536,25.82673398,0.108122878
473-16,-4441.693431,3.850047467,0.169486567
467-21,-706.6267238,24.19680983,0.124307454
471-22,-3404.536723,9.311137688,0.240468204
472-25,-4257.046953,5.601614274,0.151932761
471-25,-3452.469173,9.182964259,0.306607336
473-26,-4457.24278,3.283489906,0.144965231
471-26,-3446.159904,9.090912077,0.358200371
471-30,-3346.699501,9.038240214,0.252868772
471-32,-3366.408823,8.99819123,0.434087366
471-33,-3351.68057,8.954761352,0.238680303
468-33,-113.0862971,18.7126791,0.386798799
473-35,-4584.807276,3.548749984,(null)
471-35,-3329.757122,8.887911912,0.221139699
481-37,-119.3614734,21.85992514,0.169261366
473-38,-4618.992535,3.51110153,(null)
469-41,-164.9028626,14.96760547,0.41826579
473-41,-4568.166752,3.285626863,0.16623047
481-41,-198.6588368,21.64781936,0.187903851
480-41,-255.9079296,26.45887926,0.164724141
8-540,(null),3.5100506840285,(null)
16-540,(null),3.53187289914075,(null)
17-540,(null),3.57364044420717,(null)
20-540,(null),3.61446539369467,(null)
27-540,(null),3.13878382632697,(null)
29-540,(null),2.95615465760903,(null)
32-540,(null),2.77945417835861,(null)
39-540,(null),2.53070912311853,(null)
43-540,(null),2.88346168403388,(null)
46-540,(null),2.85692436262701,(null)
54-540,(null),2.08580018986299,(null)
57-540,(null),1.92261101671056,(null)
65-540,(null),1.60459488461873,(null)
68-540,(null),1.54885295306468,(null)
6-541,(null),1.12317717417926,(null)
9-541,(null),0.781197207023126,(null)
10-541,(null),0.58172512348176,(null)
17-541,(null),1.05600034488083,(null)
24-541,(null),0.531748948598761,(null)
30-541,(null),0.295716107474448,(null)
32-541,(null),0.517038928127533,(null)
44-541,(null),0.540312649207294,(null)
51-541,(null),0.296750883451409,(null)
71-541,(null),-0.147643031415669,(null)
72-541,(null),-0.133507937331558,(null)
6-552,(null),10.5832824959294,(null)
8-552,(null),10.3390585013883,(null)
15-552,(null),8.75178250086663,(null)
42-552,(null),7.22892164930528,(null)
50-552,(null),6.85673459762432,(null)
54-552,(null),6.55548437395777,(null)
65-552,(null),5.19870391828414,(null)
70-552,(null),4.79400458932992,(null)
74-552,(null),5.16229733629791,(null)
1-553,(null),5.38007343703026,(null)
7-553,(null),5.41123703153369,(null)
9-553,(null),5.32426875987755,(null)
22-553,(null),4.63245247774091,(null)
26-553,(null),4.65067315893367,(null)
27-553,(null),4.70923260562472,(null)
29-553,(null),4.82790348857219,(null)
34-553,(null),5.20566923612847,(null)
44-553,(null),4.06115285371044,(null)
56-553,(null),3.3280632820962,(null)
58-553,(null),3.32295737221034,(null)
73-553,(null),2.98952493046318,(null)
74-553,(null),2.87563631620878,(null)
76-553,(null),2.69607757582219,(null)
79-553,(null),2.43868342357547,(null)
82-553,(null),2.70995483431204,(null)
9-554,(null),2.63908218149618,(null)
11-554,(null),2.41063265540242,(null)
15-554,(null),2.33518133228887,(null)
17-554,(null),2.3854958443643,(null)
18-554,(null),2.33531440508591,(null)
28-554,(null),1.48606338726813,(null)
29-554,(null),1.41716918080806,(null)
32-554,(null),1.24864931177478,(null)
62-554,(null),0.523657190379595,(null)
65-554,(null),0.489762109537196,(null)
8-555,(null),-0.0230767749999359,(null)
14-555,(null),0.035391428893206,(null)
28-555,(null),-0.0949937437924291,(null)
31-555,(null),-0.161849859498091,(null)
36-555,(null),0.123630287320907,(null)
41-555,(null),0.0906754944575141,(null)
44-555,(null),-0.0125194568358893,(null)
45-555,(null),-0.0518658015564597,(null)
3-567,(null),2.02231129128205,(null)
8-567,(null),2.37414365061801,(null)
20-567,(null),2.84672914805492,(null)
21-567,(null),2.91685823448739,(null)
29-567,(null),2.71467450940656,(null)
45-567,(null),3.63482706483956,(null)
46-567,(null),3.66809745089591,(null)
37-533,(null),30.5339135734621,(null)
65-560,(null),22.9032984705236,(null)
68-538,(null),8.30773201559197,(null)
18-539,(null),7.14852412470231,(null)
63-539,(null),3.25654331169488,(null)
520-53,-308.7811669,16.45512825,0.394447476
514-33,-1185.056575,21.18811708,0.172134206
438-45,-56.58087328,27.2737025,0.393737763
451-1,-92.33157276,22.7949422,0.207640573
516-81,-163.3612486,20.8296145,0.488936424
471-82,-3701.001296,7.307223928,(null)
471-84,-3688.503309,7.549692006,0.211068362
470-86,-635.8876191,21.7190149,0.281606048
470-88,-419.8954357,21.51993105,0.271207452
266-9,-124.0505009,17.7164093,0.308710188
464-29,-36.94364101,24.53048793,0.148103669
452-61,-5557.957546,17.42521532,0.305435807
480-9,-169.0756235,26.94541008,0.133624688
519-5,-81.42564232,13.52536865,0.362928897
497-5,-5085.940565,25.99811922,0.126573682
485-2,-4600.088747,13.29775257,0.207168072
471-1,-3588.180298,10.08851238,0.198099345
458-41,-82.73379953,15.5731941,0.990079045
458-21,-2512.775247,17.7869079,0.321159393
491-13,-5557.075698,20.96813054,0.124210916
473-15,-4429.524337,3.934724868,0.167931229
454-45,-4531.771912,11.0548274,0.295620501
469-45,-213.2529002,15.18634598,0.254620165
516-45,-1009.34248,21.76520721,0.240136728
530-49,-495.4618473,16.55065138,0.390265733
470-3,-148.3831105,24.18592965,0.432967305
516-1,-311.8419989,22.83399623,0.425395429
470-18,-338.2862434,24.37390531,0.170408517
468-29,-1427.838001,19.53175005,0.286452055
60-567,(null),4.1145605457167,(null)
61-567,(null),4.14264780388885,(null)
77-567,(null),4.57976139411863,(null)
2-568,(null),4.54782657083246,(null)
41-506,(null),13.3779316518641,(null)
13-507,(null),11.3712666503167,(null)
17-507,(null),11.3567996266399,(null)
29-508,(null),13.6923949504354,(null)
1-518,(null),23.3295889791873,(null)
13-518,(null),23.3718429345628,(null)
17-518,(null),23.3271494056899,(null)
29-518,(null),22.8327490543565,(null)
73-518,(null),21.6877436376454,(null)
89-518,(null),21.34474516872,(null)
13-556,(null),10.9856798469352,(null)
21-556,(null),10.9329247721143,(null)
33-556,(null),10.558340822087,(null)
61-556,(null),9.54807209106821,(null)
61-521,(null),25.6508703732947,(null)
41-535,(null),23.3398569783458,(null)
53-535,(null),22.4030808544564,(null)
77-535,(null),20.7351574023454,(null)
41-537,(null),13.9338086171594,(null)
77-537,(null),13.8367938699278,(null)
81-537,(null),14.1098986388635,(null)
69-533,(null),30.0537996088815,(null)
5-534,(null),17.8847873241201,(null)
57-543,(null),23.7899466307375,(null)
17-544,(null),20.7071014369725,(null)
1-545,(null),16.1353854522222,(null)
17-542,(null),25.6089376382799,(null)
